,PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,GP_Normalized,GS_Normalized,MIN_Normalized,PPG_Normalized,OFFR_Normalized,DEFR_Normalized,RPG_Normalized,APG_Normalized,SPG_Normalized,BPG_Normalized,TPG_Normalized,FPG_Normalized,A/TO_Normalized,PER_Normalized,scores_Normalized
0,"Paul Pierce, SF",81.0,81.0,37.5,20.5,0.7,5.0,5.6,3.6,0.99,0.33,2.8,2.7,1.3,17.7,0.987654320988,0.987804878049,0.9125,0.67880794702,0.162790697674,0.5,0.405797101449,0.327272727273,0.357400722022,0.11301369863,0.717948717949,0.675,0.065,0.381659388646,7.2726501997
1,"Ray Allen, SG",79.0,79.0,36.4,18.2,0.8,2.7,3.5,2.8,0.87,0.16,1.7,2.0,1.6,17.3,0.962962962963,0.963414634146,0.885,0.602649006623,0.186046511628,0.27,0.253623188406,0.254545454545,0.314079422383,0.0547945205479,0.435897435897,0.5,0.08,0.378165938865,6.141179076
2,"Kevin Garnett, PF",57.0,57.0,31.1,15.8,1.4,7.1,8.5,2.5,1.11,1.19,1.6,2.2,1.6,21.3,0.691358024691,0.69512195122,0.7525,0.523178807947,0.325581395349,0.71,0.615942028986,0.227272727273,0.400722021661,0.407534246575,0.410256410256,0.55,0.08,0.413100436681,6.80256805064
3,"Rajon Rondo, PG",80.0,80.0,33.0,11.9,1.3,4.0,5.2,8.2,1.86,0.14,2.6,2.4,3.2,18.9,0.975308641975,0.975609756098,0.8,0.394039735099,0.302325581395,0.4,0.376811594203,0.745454545455,0.671480144404,0.0479452054795,0.666666666667,0.6,0.16,0.392139737991,7.50778160877
4,"Eddie House, SG",81.0,0.0,18.3,8.5,0.1,1.8,1.9,1.1,0.75,0.09,0.7,1.4,1.7,15.4,0.987654320988,0.0,0.4325,0.281456953642,0.0232558139535,0.18,0.13768115942,0.1,0.270758122744,0.0308219178082,0.179487179487,0.35,0.085,0.361572052402,3.42018752044
5,"Kendrick Perkins, C",76.0,76.0,29.6,8.5,2.7,5.5,8.1,1.3,0.29,1.97,2.2,3.3,0.6,13.3,0.925925925926,0.926829268293,0.715,0.281456953642,0.627906976744,0.55,0.586956521739,0.118181818182,0.104693140794,0.674657534247,0.564102564103,0.825,0.03,0.343231441048,7.27394214472
6,"Tony Allen, SG",46.0,2.0,19.3,7.8,0.5,1.8,2.3,1.4,1.17,0.5,1.7,2.1,0.9,13.0,0.555555555556,0.0243902439024,0.4575,0.258278145695,0.116279069767,0.18,0.166666666667,0.127272727273,0.42238267148,0.171232876712,0.435897435897,0.525,0.045,0.340611353712,3.82606674666
7,"Leon Powe, PF",70.0,7.0,17.5,7.7,2.1,2.9,4.9,0.7,0.34,0.54,1.1,2.7,0.6,17.2,0.851851851852,0.0853658536585,0.4125,0.254966887417,0.488372093023,0.29,0.355072463768,0.0636363636364,0.12274368231,0.184931506849,0.282051282051,0.675,0.03,0.377292576419,4.47378456099
8,"Glen Davis, PF",76.0,16.0,21.5,7.0,1.6,2.4,4.0,0.9,0.7,0.25,0.9,3.0,1.0,10.8,0.925925925926,0.19512195122,0.5125,0.23178807947,0.372093023256,0.24,0.289855072464,0.0818181818182,0.252707581227,0.0856164383562,0.230769230769,0.75,0.05,0.321397379913,4.53959286442
9,"Mikki Moore, C†",24.0,0.0,19.0,4.8,1.3,3.1,4.4,1.0,0.17,0.21,0.9,4.0,1.2,9.3,0.283950617284,0.0,0.45,0.158940397351,0.302325581395,0.31,0.31884057971,0.0909090909091,0.0613718411552,0.0719178082192,0.230769230769,1.0,0.06,0.308296943231,3.64732209002
10,"Stephon Marbury, PG",23.0,4.0,18.0,3.8,0.1,1.1,1.2,3.3,0.43,0.13,1.6,1.5,2.0,4.5,0.271604938272,0.0487804878049,0.425,0.12582781457,0.0232558139535,0.11,0.0869565217391,0.3,0.15523465704,0.0445205479452,0.410256410256,0.375,0.1,0.266375545852,2.74281273743
11,"Brian Scalabrine, PF",39.0,8.0,12.9,3.5,0.2,1.1,1.3,0.5,0.18,0.26,0.3,1.9,1.5,7.4,0.469135802469,0.0975609756098,0.2975,0.115894039735,0.046511627907,0.11,0.0942028985507,0.0454545454545,0.0649819494585,0.0890410958904,0.0769230769231,0.475,0.075,0.291703056769,2.34890906877
12,"Henry Walker, SF",29.0,0.0,7.4,3.0,0.3,0.7,1.0,0.4,0.21,0.07,0.6,1.8,0.7,10.9,0.345679012346,0.0,0.16,0.0993377483444,0.0697674418605,0.07,0.0724637681159,0.0363636363636,0.0758122743682,0.0239726027397,0.153846153846,0.45,0.035,0.322270742358,1.91451338034
13,"Gabe Pruitt, PG",47.0,0.0,7.8,2.0,0.2,0.7,0.9,0.8,0.32,0.06,0.4,0.7,2.1,7.6,0.567901234568,0.0,0.17,0.0662251655629,0.046511627907,0.07,0.0652173913043,0.0727272727273,0.115523465704,0.0205479452055,0.102564102564,0.175,0.105,0.293449781659,1.8706679872
14,"Patrick O'Bryant, C†",26.0,0.0,4.2,1.5,0.3,1.0,1.3,0.3,0.12,0.31,0.7,1.1,0.5,9.5,0.308641975309,0.0,0.08,0.0496688741722,0.0697674418605,0.1,0.0942028985507,0.0272727272727,0.043321299639,0.106164383562,0.179487179487,0.275,0.025,0.310043668122,1.66857044797
