id,date,home_team,home_team_score,visit_team,visit_team_score
251102002,2006-11-02,Boston Celtics,114,NY Knicks,100
251104002,2006-11-04,Boston Celtics,81,Detroit,82
251105030,2006-11-05,Charlotte,107,Boston Celtics,105
251109002,2006-11-09,Boston Celtics,99,Memphis,98
251111002,2006-11-11,Boston Celtics,82,San Antonio,103
251113002,2006-11-13,Boston Celtics,102,Houston,82
251115008,2006-11-15,Detroit,115,Boston Celtics,100
251116002,2006-11-16,Boston Celtics,100,Oklahoma City,113
251118002,2006-11-18,Boston Celtics,100,Toronto,93
251122005,2006-11-22,Cleveland,115,Boston Celtics,93
251123001,2006-11-23,Atlanta,120,Boston Celtics,117
251125002,2006-11-25,Boston Celtics,90,Charlotte,89
251128002,2006-11-28,Boston Celtics,83,Orlando,87
251130002,2006-11-30,Boston Celtics,110,Philadelphia,103
251202002,2006-12-02,Boston Celtics,102,Chicago,106
251204018,2006-12-04,NY Knicks,99,Boston Celtics,102
251206010,2006-12-06,Houston,91,Boston Celtics,73
251207003,2006-12-07,New Orleans,87,Boston Celtics,101
251209024,2006-12-09,San Antonio,101,Boston Celtics,89
251210006,2006-12-10,Dallas,103,Boston Celtics,94
251214002,2006-12-14,Boston Celtics,85,Indiana,71
251216002,2006-12-16,Boston Celtics,96,Milwaukee,100
251217004,2006-12-17,Chicago,118,Boston Celtics,86
251219002,2006-12-19,Boston Celtics,109,Golden State,98
251221002,2006-12-21,Boston Celtics,101,Utah,89
251226025,2006-12-26,Oklahoma City,118,Boston Celtics,111
251228009,2006-12-28,Golden State,111,Boston Celtics,109
251230023,2006-12-30,Sacramento,116,Boston Celtics,112
251231012,2006-12-31,LA,92,Boston Celtics,111
260102007,2006-01-02,Denver,120,Boston Celtics,110
260104002,2006-01-04,Boston Celtics,109,Charlotte,106
260106002,2006-01-06,Boston Celtics,98,Atlanta,103
260107027,2006-01-07,Washington,103,Boston Celtics,102
260109002,2006-01-09,Boston Celtics,102,Dallas,104
260110001,2006-01-10,Atlanta,94,Boston Celtics,98
260113020,2006-01-13,Philadelphia,125,Boston Celtics,124
260116008,2006-01-16,Detroit,94,Boston Celtics,84
260118002,2006-01-18,Boston Celtics,103,Minnesota,96
260120002,2006-01-20,Boston Celtics,99,Brooklyn,96
260121017,2006-01-21,Brooklyn,103,Boston Celtics,83
260123002,2006-01-23,Boston Celtics,91,New Orleans,78
