,PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,GP_Normalized,GS_Normalized,MIN_Normalized,PPG_Normalized,OFFR_Normalized,DEFR_Normalized,RPG_Normalized,APG_Normalized,SPG_Normalized,BPG_Normalized,TPG_Normalized,FPG_Normalized,A/TO_Normalized,PER_Normalized,scores_Normalized
0,"Paul Pierce, SF",80.0,80.0,38.7,23.0,0.9,5.7,6.5,5.1,1.64,0.65,3.8,2.9,1.4,19.4,0.975308641975,0.975609756098,0.906862745098,0.821428571429,0.195652173913,0.522935779817,0.467625899281,0.548387096774,0.683333333333,0.13,0.863636363636,0.725,0.28,0.798,8.89378036135
1,"Ricky Davis, SG†",57.0,5.0,29.4,14.1,1.0,3.1,4.2,2.6,1.25,0.25,2.1,2.1,1.2,16.1,0.691358024691,0.0609756097561,0.678921568627,0.503571428571,0.217391304348,0.284403669725,0.302158273381,0.279569892473,0.520833333333,0.05,0.477272727273,0.525,0.24,0.732,5.56345583218
2,"Chucky Atkins, PG†",24.0,24.0,33.0,12.0,0.1,1.8,1.9,5.3,1.08,0.04,1.8,1.8,2.9,12.1,0.283950617284,0.292682926829,0.767156862745,0.428571428571,0.0217391304348,0.165137614679,0.136690647482,0.569892473118,0.45,0.008,0.409090909091,0.45,0.58,0.652,5.21491261023
3,"Eric Williams, PF†",21.0,0.0,24.4,11.6,1.0,3.5,4.5,1.2,1.05,0.05,1.5,2.5,0.8,12.5,0.246913580247,0.0,0.55637254902,0.414285714286,0.217391304348,0.321100917431,0.323741007194,0.129032258065,0.4375,0.01,0.340909090909,0.625,0.16,0.66,4.4422464215
4,"Vin Baker, PF†",37.0,33.0,27.0,11.3,2.1,3.6,5.7,1.5,0.59,0.62,1.4,2.6,1.0,14.8,0.444444444444,0.40243902439,0.620098039216,0.403571428571,0.45652173913,0.330275229358,0.410071942446,0.161290322581,0.245833333333,0.124,0.318181818182,0.65,0.2,0.706,5.47272732165
5,"Mike James, PG†",55.0,55.0,30.6,10.7,0.4,2.8,3.2,4.4,1.27,0.04,1.5,2.1,2.9,14.4,0.666666666667,0.670731707317,0.708333333333,0.382142857143,0.0869565217391,0.256880733945,0.230215827338,0.47311827957,0.529166666667,0.008,0.340909090909,0.525,0.58,0.698,6.15612168463
6,"Mark Blount, C",82.0,73.0,29.3,10.3,2.5,4.7,7.2,0.9,0.98,1.29,1.8,3.1,0.5,16.1,1.0,0.890243902439,0.676470588235,0.367857142857,0.54347826087,0.43119266055,0.517985611511,0.0967741935484,0.408333333333,0.258,0.409090909091,0.775,0.1,0.732,7.20642660243
7,"Jiri Welsch, GF",81.0,68.0,26.9,9.2,0.7,2.9,3.7,2.3,1.25,0.09,1.6,2.2,1.4,12.7,0.987654320988,0.829268292683,0.617647058824,0.328571428571,0.152173913043,0.266055045872,0.26618705036,0.247311827957,0.520833333333,0.018,0.363636363636,0.55,0.28,0.664,6.09133863527
8,"Walter McCarty, PF",77.0,23.0,24.7,7.9,0.4,2.7,3.1,1.6,0.94,0.29,1.2,2.3,1.4,10.9,0.938271604938,0.280487804878,0.563725490196,0.282142857143,0.0869565217391,0.247706422018,0.223021582734,0.172043010753,0.391666666667,0.058,0.272727272727,0.575,0.28,0.628,4.99974923379
9,"Raef LaFrentz, C",17.0,1.0,19.3,7.8,1.8,2.9,4.6,1.4,0.47,0.76,0.6,2.8,2.2,16.8,0.197530864198,0.0121951219512,0.43137254902,0.278571428571,0.391304347826,0.266055045872,0.330935251799,0.150537634409,0.195833333333,0.152,0.136363636364,0.7,0.44,0.746,4.42869921334
10,"Chris Mihm, C†",54.0,16.0,17.4,6.1,2.0,3.0,5.1,0.2,0.52,0.76,1.2,2.8,0.2,14.7,0.654320987654,0.19512195122,0.384803921569,0.217857142857,0.434782608696,0.275229357798,0.36690647482,0.0215053763441,0.216666666667,0.152,0.272727272727,0.7,0.04,0.704,4.63592176035
11,"Dana Barros, PG",1.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.9,0.0,0.0,0.227941176471,0.214285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.768,1.71022689076
12,"Marcus Banks, PG",81.0,2.0,17.1,5.9,0.4,1.3,1.6,2.2,1.09,0.16,1.5,2.1,1.4,11.0,0.987654320988,0.0243902439024,0.377450980392,0.210714285714,0.0869565217391,0.119266055046,0.115107913669,0.236559139785,0.454166666667,0.032,0.340909090909,0.525,0.28,0.63,4.42017521881
13,"Tony Battie, C†",23.0,6.0,21.8,5.9,1.7,3.4,5.1,0.9,0.35,0.87,1.0,2.4,0.9,12.0,0.271604938272,0.0731707317073,0.492647058824,0.210714285714,0.369565217391,0.311926605505,0.36690647482,0.0967741935484,0.145833333333,0.174,0.227272727273,0.6,0.18,0.65,4.17041556639
14,"Kedrick Brown, SG†",21.0,10.0,19.4,5.2,0.9,2.4,3.2,1.2,0.81,0.1,0.6,1.8,2.1,12.5,0.246913580247,0.121951219512,0.433823529412,0.185714285714,0.195652173913,0.220183486239,0.230215827338,0.129032258065,0.3375,0.02,0.136363636364,0.45,0.42,0.66,3.7873499968
15,"Brandon Hunter, PF",36.0,12.0,11.3,3.5,1.4,1.9,3.3,0.5,0.36,0.03,0.6,1.1,0.9,12.7,0.432098765432,0.146341463415,0.235294117647,0.125,0.304347826087,0.174311926606,0.237410071942,0.0537634408602,0.15,0.006,0.136363636364,0.275,0.18,0.664,3.11993124835
16,"Jumaine Jones, SF",42.0,2.0,8.9,2.2,0.6,1.0,1.6,0.3,0.29,0.21,0.5,1.1,0.7,7.6,0.506172839506,0.0243902439024,0.176470588235,0.0785714285714,0.130434782609,0.0917431192661,0.115107913669,0.0322580645161,0.120833333333,0.042,0.113636363636,0.275,0.14,0.562,2.40861867724
17,"Kendrick Perkins, C",10.0,0.0,3.5,2.2,0.5,0.9,1.4,0.3,0.0,0.2,0.5,0.6,0.6,22.8,0.111111111111,0.0,0.0441176470588,0.0785714285714,0.108695652174,0.0825688073394,0.10071942446,0.0322580645161,0.0,0.04,0.113636363636,0.15,0.12,0.866,1.84767849887
18,"Michael Stewart, PF†",17.0,0.0,4.2,0.3,0.2,0.5,0.6,0.0,0.06,0.12,0.1,0.8,0.0,4.3,0.197530864198,0.0,0.0612745098039,0.0107142857143,0.0434782608696,0.045871559633,0.0431654676259,0.0,0.025,0.024,0.0227272727273,0.2,0.0,0.496,1.16976222057
19,"Richard Jefferson, SF",82.0,82.0,38.2,18.5,1.3,4.3,5.7,3.8,1.12,0.34,2.4,2.7,1.6,18.2,1.0,1.0,0.894607843137,0.660714285714,0.282608695652,0.394495412844,0.410071942446,0.408602150538,0.466666666667,0.068,0.545454545455,0.675,0.32,0.774,7.90022154245
20,"Kenyon Martin, PF",65.0,62.0,34.6,16.7,2.0,7.4,9.5,2.5,1.46,1.26,2.6,3.5,1.0,18.8,0.79012345679,0.756097560976,0.80637254902,0.596428571429,0.434782608696,0.678899082569,0.68345323741,0.268817204301,0.608333333333,0.252,0.590909090909,0.875,0.2,0.786,8.32721669543
21,"Jason Kidd, PG",67.0,66.0,36.6,15.5,1.3,5.1,6.4,9.2,1.82,0.21,3.2,1.6,2.9,19.7,0.814814814815,0.80487804878,0.855392156863,0.553571428571,0.282608695652,0.467889908257,0.460431654676,0.989247311828,0.758333333333,0.042,0.727272727273,0.4,0.58,0.804,8.54044008005
22,"Kerry Kittles, SG",82.0,82.0,34.7,13.1,0.7,3.3,4.0,2.5,1.52,0.49,1.2,1.8,2.2,14.8,1.0,1.0,0.808823529412,0.467857142857,0.152173913043,0.302752293578,0.287769784173,0.268817204301,0.633333333333,0.098,0.272727272727,0.45,0.44,0.706,6.88825447342
23,"Alonzo Mourning, C",12.0,0.0,17.9,8.0,0.7,1.6,2.3,0.7,0.17,0.5,0.8,2.7,0.8,13.3,0.135802469136,0.0,0.397058823529,0.285714285714,0.152173913043,0.146788990826,0.165467625899,0.0752688172043,0.0708333333333,0.1,0.181818181818,0.675,0.16,0.676,3.2219264405
24,"Rodney Rogers, SF",69.0,15.0,20.4,7.8,1.4,3.0,4.4,2.0,0.86,0.39,1.4,2.7,1.4,14.2,0.83950617284,0.182926829268,0.458333333333,0.278571428571,0.304347826087,0.275229357798,0.31654676259,0.215053763441,0.358333333333,0.078,0.318181818182,0.675,0.28,0.694,5.27403062544
25,"Lucious Harris, SG",69.0,15.0,21.8,6.9,0.6,1.5,2.0,2.0,0.59,0.03,0.8,1.1,2.5,11.1,0.83950617284,0.182926829268,0.492647058824,0.246428571429,0.130434782609,0.137614678899,0.143884892086,0.215053763441,0.245833333333,0.006,0.181818181818,0.275,0.5,0.632,4.22914826455
26,"Aaron Williams, C",72.0,7.0,18.6,6.3,1.4,2.7,4.1,1.1,0.47,0.64,1.2,2.6,0.9,13.3,0.876543209877,0.0853658536585,0.414215686275,0.225,0.304347826087,0.247706422018,0.294964028777,0.118279569892,0.195833333333,0.128,0.272727272727,0.65,0.18,0.676,4.66898320264
27,"Jason Collins, C",78.0,78.0,28.5,5.9,1.8,3.3,5.1,2.0,0.86,0.72,1.2,3.2,1.6,10.1,0.950617283951,0.951219512195,0.656862745098,0.210714285714,0.391304347826,0.302752293578,0.36690647482,0.215053763441,0.358333333333,0.144,0.272727272727,0.8,0.32,0.612,6.55249131268
28,"Brian Scalabrine, PF",69.0,2.0,13.4,3.5,0.6,1.9,2.5,0.9,0.3,0.2,0.6,1.6,1.5,9.5,0.83950617284,0.0243902439024,0.286764705882,0.125,0.130434782609,0.174311926606,0.179856115108,0.0967741935484,0.125,0.04,0.136363636364,0.4,0.3,0.6,3.45840177686
29,"Zoran Planinic, PG",49.0,1.0,9.7,3.1,0.3,0.8,1.1,1.4,0.27,0.06,0.7,1.4,1.9,10.0,0.592592592593,0.0121951219512,0.196078431373,0.110714285714,0.0652173913043,0.0733944954128,0.0791366906475,0.150537634409,0.1125,0.012,0.159090909091,0.35,0.38,0.61,2.90345755249
30,"Brandon Armstrong, SG",56.0,0.0,7.8,2.7,0.2,0.6,0.8,0.3,0.21,0.04,0.4,0.9,0.6,5.5,0.679012345679,0.0,0.149509803922,0.0964285714286,0.0434782608696,0.0550458715596,0.0575539568345,0.0322580645161,0.0875,0.008,0.0909090909091,0.225,0.12,0.52,2.16469596572
31,"Tamar Slay, SG",22.0,0.0,7.5,2.4,0.5,0.7,1.1,0.6,0.32,0.05,0.5,0.9,1.3,7.9,0.259259259259,0.0,0.142156862745,0.0857142857143,0.108695652174,0.0642201834862,0.0791366906475,0.0645161290323,0.133333333333,0.01,0.113636363636,0.225,0.26,0.568,2.11366876003
32,"Robert Pack, PG",26.0,0.0,8.5,1.9,0.2,0.5,0.7,1.0,0.46,0.04,0.6,0.8,1.7,8.1,0.308641975309,0.0,0.166666666667,0.0678571428571,0.0434782608696,0.045871559633,0.0503597122302,0.10752688172,0.191666666667,0.008,0.136363636364,0.2,0.34,0.572,2.23843250232
33,"Doug Overton, PG†",6.0,0.0,3.7,1.3,0.0,0.2,0.2,0.7,0.17,0.0,0.3,0.7,2.0,7.5,0.0617283950617,0.0,0.0490196078431,0.0464285714286,0.0,0.0183486238532,0.0143884892086,0.0752688172043,0.0708333333333,0.0,0.0681818181818,0.175,0.4,0.56,1.53919765611
34,"Damone Brown, PF",3.0,0.0,5.7,1.0,1.0,0.7,1.7,0.0,0.67,0.0,0.3,0.7,0.0,-4.4,0.0246913580247,0.0,0.0980392156863,0.0357142857143,0.217391304348,0.0642201834862,0.122302158273,0.0,0.279166666667,0.0,0.0681818181818,0.175,0.0,0.322,1.40670699038
35,"Anthony Goldwire, PG†",6.0,0.0,3.2,0.7,0.0,0.2,0.2,0.2,0.33,0.0,0.2,0.0,1.0,8.8,0.0617283950617,0.0,0.0367647058824,0.025,0.0,0.0183486238532,0.0143884892086,0.0215053763441,0.1375,0.0,0.0454545454545,0.0,0.2,0.586,1.1466901358
36,"Mikki Moore, C†",4.0,0.0,2.5,0.5,0.3,0.3,0.5,0.0,0.0,0.0,0.0,0.3,0.0,13.4,0.037037037037,0.0,0.0196078431373,0.0178571428571,0.0652173913043,0.0275229357798,0.0359712230216,0.0,0.0,0.0,0.0,0.075,0.0,0.678,0.956213573137
37,"Hubert Davis, SG†",14.0,0.0,3.9,0.3,0.1,0.4,0.6,0.2,0.14,0.0,0.1,0.6,1.5,-2.3,0.16049382716,0.0,0.0539215686275,0.0107142857143,0.0217391304348,0.0366972477064,0.0431654676259,0.0215053763441,0.0583333333333,0.0,0.0227272727273,0.15,0.3,0.364,1.24329750967
38,"Stephon Marbury, PG†",47.0,47.0,39.1,19.8,0.8,2.3,3.1,9.3,1.38,0.09,3.2,2.1,2.9,20.4,0.567901234568,0.573170731707,0.916666666667,0.707142857143,0.173913043478,0.211009174312,0.223021582734,1.0,0.575,0.018,0.727272727273,0.525,0.58,0.818,7.61609801788
39,"Allan Houston, SG",50.0,50.0,36.0,18.5,0.4,2.0,2.4,2.0,0.76,0.04,2.0,2.1,1.0,14.7,0.604938271605,0.609756097561,0.84068627451,0.660714285714,0.0869565217391,0.183486238532,0.172661870504,0.215053763441,0.316666666667,0.008,0.454545454545,0.525,0.2,0.704,5.58246544482
40,"Keith Van Horn, PF†",47.0,47.0,33.5,16.4,2.1,5.2,7.3,1.8,1.11,0.38,2.5,3.2,0.7,17.8,0.567901234568,0.573170731707,0.779411764706,0.585714285714,0.45652173913,0.477064220183,0.525179856115,0.193548387097,0.4625,0.076,0.568181818182,0.8,0.14,0.766,6.9711940374
41,"Tim Thomas, PF†",24.0,23.0,31.1,15.8,1.1,3.7,4.8,1.4,1.0,0.21,1.8,2.9,0.8,15.1,0.283950617284,0.280487804878,0.720588235294,0.564285714286,0.239130434783,0.339449541284,0.345323741007,0.150537634409,0.416666666667,0.042,0.409090909091,0.725,0.16,0.712,5.38851129898
42,"Kurt Thomas, PF",80.0,75.0,31.9,11.1,1.8,6.5,8.3,1.9,0.7,1.0,1.7,3.7,1.1,14.2,0.975308641975,0.914634146341,0.740196078431,0.396428571429,0.391304347826,0.596330275229,0.597122302158,0.204301075269,0.291666666667,0.2,0.386363636364,0.925,0.22,0.694,7.53265574169
43,"Penny Hardaway, SF†",42.0,4.0,29.0,9.6,1.0,3.5,4.5,1.9,1.0,0.29,1.5,1.9,1.2,11.8,0.506172839506,0.0487804878049,0.669117647059,0.342857142857,0.217391304348,0.321100917431,0.323741007194,0.204301075269,0.416666666667,0.058,0.340909090909,0.475,0.24,0.646,4.81003817904
44,"Nazr Mohammed, C†",27.0,23.0,24.9,9.1,2.9,4.8,7.7,0.6,1.22,0.93,1.5,3.0,0.4,16.2,0.320987654321,0.280487804878,0.56862745098,0.325,0.630434782609,0.440366972477,0.553956834532,0.0645161290323,0.508333333333,0.186,0.340909090909,0.75,0.08,0.734,5.78362005307
45,"Charlie Ward, PG†",35.0,10.0,23.6,8.7,0.3,2.5,2.7,4.9,1.34,0.23,2.0,2.1,2.5,14.5,0.41975308642,0.121951219512,0.536764705882,0.310714285714,0.0652173913043,0.229357798165,0.194244604317,0.52688172043,0.558333333333,0.046,0.454545454545,0.525,0.5,0.7,5.18876359962
46,"Antonio McDyess, PF†",18.0,6.0,23.4,8.4,1.7,4.9,6.6,1.1,0.67,0.61,1.5,2.6,0.7,12.7,0.20987654321,0.0731707317073,0.531862745098,0.3,0.369565217391,0.449541284404,0.474820143885,0.118279569892,0.279166666667,0.122,0.340909090909,0.65,0.14,0.664,4.72319199316
47,"Shandon Anderson, SF",80.0,37.0,24.7,7.9,0.7,2.1,2.8,1.5,0.85,0.21,1.5,2.3,1.0,10.1,0.975308641975,0.451219512195,0.563725490196,0.282142857143,0.152173913043,0.192660550459,0.201438848921,0.161290322581,0.354166666667,0.042,0.340909090909,0.575,0.2,0.612,5.10403589409
48,"Howard Eisley, PG†",33.0,23.0,22.1,6.7,0.2,1.8,2.0,4.7,0.91,0.09,1.5,2.6,3.1,12.3,0.395061728395,0.280487804878,0.5,0.239285714286,0.0434782608696,0.165137614679,0.143884892086,0.505376344086,0.379166666667,0.018,0.340909090909,0.65,0.62,0.656,4.93678811686
49,"Vin Baker, PF†",17.0,0.0,18.4,6.6,2.1,2.0,4.1,0.7,0.41,0.53,1.5,3.6,0.5,14.8,0.197530864198,0.0,0.40931372549,0.235714285714,0.45652173913,0.183486238532,0.294964028777,0.0752688172043,0.170833333333,0.106,0.340909090909,0.9,0.1,0.706,4.17654212329
50,"Dikembe Mutombo, C",65.0,56.0,23.0,5.6,2.2,4.5,6.7,0.4,0.26,1.89,0.8,2.2,0.5,14.4,0.79012345679,0.682926829268,0.522058823529,0.2,0.478260869565,0.412844036697,0.482014388489,0.0430107526882,0.108333333333,0.378,0.181818181818,0.55,0.1,0.698,5.62739067218
51,"DerMarr Johnson, SF",21.0,1.0,13.7,5.4,0.2,1.6,1.9,0.5,0.38,0.33,0.8,1.5,0.7,11.5,0.246913580247,0.0121951219512,0.294117647059,0.192857142857,0.0434782608696,0.146788990826,0.136690647482,0.0537634408602,0.158333333333,0.066,0.181818181818,0.375,0.14,0.64,2.6879563473
52,"Michael Doleac, C†",46.0,0.0,14.9,5.0,1.3,2.8,4.1,0.7,0.37,0.65,0.8,1.8,0.8,12.4,0.555555555556,0.0,0.323529411765,0.178571428571,0.282608695652,0.256880733945,0.294964028777,0.0752688172043,0.154166666667,0.13,0.181818181818,0.45,0.16,0.658,3.70136351995
53,"Othella Harrington, PF",56.0,3.0,15.6,4.6,1.0,2.1,3.2,0.5,0.21,0.25,1.2,2.4,0.4,9.0,0.679012345679,0.0365853658537,0.34068627451,0.164285714286,0.217391304348,0.192660550459,0.230215827338,0.0537634408602,0.0875,0.05,0.272727272727,0.6,0.08,0.59,3.59482809606
54,"Michael Sweetney, PF",42.0,1.0,11.8,4.3,1.6,2.1,3.7,0.3,0.43,0.29,0.8,1.4,0.4,17.2,0.506172839506,0.0121951219512,0.247549019608,0.153571428571,0.347826086957,0.192660550459,0.26618705036,0.0322580645161,0.179166666667,0.058,0.181818181818,0.35,0.08,0.754,3.36140501041
55,"Moochie Norris, PG†",36.0,0.0,12.4,4.3,0.2,0.8,1.0,2.0,0.78,0.08,0.9,1.0,2.1,10.9,0.432098765432,0.0,0.262254901961,0.153571428571,0.0434782608696,0.0733944954128,0.0719424460432,0.215053763441,0.325,0.016,0.204545454545,0.25,0.42,0.628,3.09533951628
56,"Frank Williams, PG",56.0,3.0,12.8,3.9,0.1,0.8,0.9,2.2,0.45,0.11,1.1,1.0,1.9,10.7,0.679012345679,0.0365853658537,0.272058823529,0.139285714286,0.0217391304348,0.0733944954128,0.0647482014388,0.236559139785,0.1875,0.022,0.25,0.25,0.38,0.624,3.23688321642
57,"Clarence Weatherspoon, PF†",15.0,1.0,14.4,3.6,0.9,2.4,3.3,0.9,0.53,0.13,0.6,1.3,1.4,14.7,0.172839506173,0.0121951219512,0.311274509804,0.128571428571,0.195652173913,0.220183486239,0.237410071942,0.0967741935484,0.220833333333,0.026,0.136363636364,0.325,0.28,0.704,3.06709746184
58,"Bruno Sundov, C†",1.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.5,0.0,0.0,0.0563725490196,0.0714285714286,0.0,0.0,0.0,0.10752688172,0.0,0.0,0.0,0.5,0.0,0.48,1.21532800217
59,"Cezary Trybanski, C†",3.0,0.0,1.7,0.3,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.7,0.0,-12.2,0.0246913580247,0.0,0.0,0.0107142857143,0.0,0.0,0.0,0.0,0.1375,0.0,0.0,0.175,0.0,0.166,0.513905643739
60,"Allen Iverson, SG",48.0,47.0,42.5,26.4,0.7,3.0,3.7,6.8,2.4,0.1,4.4,1.8,1.6,19.3,0.58024691358,0.573170731707,1.0,0.942857142857,0.152173913043,0.275229357798,0.26618705036,0.731182795699,1.0,0.02,1.0,0.45,0.32,0.796,8.10704790504
61,"Glenn Robinson, SF",42.0,42.0,31.8,16.6,1.1,3.4,4.5,1.4,1.0,0.21,2.5,2.3,0.5,15.1,0.506172839506,0.512195121951,0.737745098039,0.592857142857,0.239130434783,0.311926605505,0.323741007194,0.150537634409,0.416666666667,0.042,0.568181818182,0.575,0.1,0.712,5.78815436909
62,"Kenny Thomas, PF",74.0,72.0,36.5,13.6,3.5,6.6,10.1,1.5,1.11,0.45,2.3,3.0,0.6,16.0,0.901234567901,0.878048780488,0.852941176471,0.485714285714,0.760869565217,0.605504587156,0.726618705036,0.161290322581,0.4625,0.09,0.522727272727,0.75,0.12,0.73,8.04744926329
63,"Eric Snow, PG",82.0,82.0,36.2,10.3,0.8,2.7,3.4,6.9,1.18,0.07,2.3,2.6,3.0,13.5,1.0,1.0,0.845588235294,0.367857142857,0.173913043478,0.247706422018,0.244604316547,0.741935483871,0.491666666667,0.014,0.522727272727,0.65,0.6,0.68,7.57999858346
64,"Marc Jackson, PF",22.0,13.0,27.2,9.4,2.0,3.7,5.7,0.8,0.55,0.27,1.1,2.0,0.8,13.2,0.259259259259,0.158536585366,0.625,0.335714285714,0.434782608696,0.339449541284,0.410071942446,0.0860215053763,0.229166666667,0.054,0.25,0.5,0.16,0.674,4.51600239481
65,"Aaron McKie, SG",75.0,41.0,28.2,9.2,0.6,2.8,3.4,2.6,1.13,0.31,1.4,1.9,1.9,14.0,0.913580246914,0.5,0.649509803922,0.328571428571,0.130434782609,0.256880733945,0.244604316547,0.279569892473,0.470833333333,0.062,0.318181818182,0.475,0.38,0.69,5.6991663565
66,"Derrick Coleman, PF",34.0,30.0,24.8,8.0,1.3,4.3,5.6,1.4,0.68,0.76,1.7,2.3,0.8,11.7,0.407407407407,0.365853658537,0.566176470588,0.285714285714,0.282608695652,0.394495412844,0.402877697842,0.150537634409,0.283333333333,0.152,0.386363636364,0.575,0.16,0.644,5.05636823269
67,"Samuel Dalembert, C",82.0,53.0,26.8,8.0,2.4,5.3,7.6,0.3,0.54,2.3,1.0,3.3,0.2,16.3,1.0,0.646341463415,0.615196078431,0.285714285714,0.521739130435,0.48623853211,0.546762589928,0.0322580645161,0.225,0.46,0.227272727273,0.825,0.04,0.736,6.64752287182
68,"Willie Green, SG",53.0,0.0,14.5,6.9,0.3,0.9,1.2,1.0,0.49,0.09,1.1,1.6,0.9,10.8,0.641975308642,0.0,0.313725490196,0.246428571429,0.0652173913043,0.0825688073394,0.0863309352518,0.10752688172,0.204166666667,0.018,0.25,0.4,0.18,0.626,3.22194005255
69,"John Salmons, SF",77.0,24.0,20.8,5.8,0.5,2.1,2.5,1.7,0.81,0.21,1.0,1.6,1.7,10.7,0.938271604938,0.292682926829,0.468137254902,0.207142857143,0.108695652174,0.192660550459,0.179856115108,0.182795698925,0.3375,0.042,0.227272727273,0.4,0.34,0.624,4.54101538775
70,"Kyle Korver, SG",74.0,0.0,11.9,4.5,0.4,1.1,1.5,0.5,0.34,0.11,0.6,1.4,1.0,10.1,0.901234567901,0.0,0.25,0.160714285714,0.0869565217391,0.100917431193,0.107913669065,0.0537634408602,0.141666666667,0.022,0.136363636364,0.35,0.2,0.612,3.1235302195
71,"Zendon Hamilton, C",46.0,0.0,10.3,3.7,1.1,2.1,3.2,0.3,0.17,0.17,0.6,1.6,0.5,16.1,0.555555555556,0.0,0.210784313725,0.132142857143,0.239130434783,0.192660550459,0.230215827338,0.0322580645161,0.0708333333333,0.034,0.136363636364,0.4,0.1,0.732,3.06594457322
72,"Greg Buckner, SG",53.0,3.0,13.3,3.1,0.5,1.4,1.9,0.8,0.4,0.08,0.6,1.5,1.3,7.4,0.641975308642,0.0365853658537,0.28431372549,0.110714285714,0.108695652174,0.128440366972,0.136690647482,0.0860215053763,0.166666666667,0.016,0.136363636364,0.375,0.26,0.558,3.04546716074
73,"Amal McCaskill, C",59.0,3.0,10.8,1.9,0.8,1.4,2.3,0.3,0.2,0.34,0.4,1.5,0.8,7.4,0.716049382716,0.0365853658537,0.223039215686,0.0678571428571,0.173913043478,0.128440366972,0.165467625899,0.0322580645161,0.0833333333333,0.068,0.0909090909091,0.375,0.16,0.558,2.87885263222
74,"Vince Carter, SG",73.0,73.0,38.2,22.5,1.3,3.5,4.8,4.8,1.21,0.89,3.1,2.9,1.6,20.0,0.888888888889,0.890243902439,0.894607843137,0.803571428571,0.282608695652,0.321100917431,0.345323741007,0.516129032258,0.504166666667,0.178,0.704545454545,0.725,0.32,0.81,8.1841865706
75,"Jalen Rose, SG†",50.0,50.0,39.4,16.2,0.5,3.5,4.0,5.5,0.78,0.36,3.4,2.8,1.6,12.4,0.604938271605,0.609756097561,0.924019607843,0.578571428571,0.108695652174,0.321100917431,0.287769784173,0.591397849462,0.325,0.072,0.772727272727,0.7,0.32,0.658,6.87397688155
