id,date,home_team,home_team_score,visit_team,visit_team_score
291027005,2010-10-27,Cleveland,89,Boston Celtics,95
291028002,2010-10-28,Boston Celtics,92,Charlotte,59
291030002,2010-10-30,Boston Celtics,118,Chicago,90
291101002,2010-11-01,Boston Celtics,97,New Orleans,87
291103020,2010-11-03,Philadelphia,74,Boston Celtics,105
291104016,2010-11-04,Minnesota,90,Boston Celtics,92
291106002,2010-11-06,Boston Celtics,103,Phoenix,110
291107017,2010-11-07,Brooklyn,76,Boston Celtics,86
291111002,2010-11-11,Boston Celtics,105,Utah,86
291113002,2010-11-13,Boston Celtics,86,Atlanta,97
291114011,2010-11-14,Indiana,113,Boston Celtics,104
291118002,2010-11-18,Boston Celtics,109,Golden State,95
291120002,2010-11-20,Boston Celtics,78,Orlando,83
291122018,2010-11-22,NY Knicks,105,Boston Celtics,107
291125002,2010-11-25,Boston Celtics,113,Philadelphia,110
291127002,2010-11-27,Boston Celtics,116,Toronto,103
291129014,2010-11-29,Miami,85,Boston Celtics,92
291201030,2010-12-01,Charlotte,90,Boston Celtics,108
291203024,2010-12-03,San Antonio,83,Boston Celtics,90
291204025,2010-12-04,Oklahoma City,87,Boston Celtics,105
291208002,2010-12-08,Boston Celtics,98,Milwaukee,89
291210027,2010-12-10,Washington,102,Boston Celtics,104
291212004,2010-12-12,Chicago,80,Boston Celtics,106
291214029,2010-12-14,Memphis,105,Boston Celtics,110
291218002,2010-12-18,Boston Celtics,97,Philadelphia,98
291220002,2010-12-20,Boston Celtics,122,Minnesota,104
291222002,2010-12-22,Boston Celtics,103,Indiana,94
291225019,2010-12-25,Orlando,77,Boston Celtics,86
291227012,2010-12-27,LA,92,Boston Celtics,90
291228009,2010-12-28,Golden State,103,Boston Celtics,99
291230021,2010-12-30,Phoenix,116,Boston Celtics,98
300102002,2010-01-02,Boston Celtics,103,Toronto,96
300106014,2010-01-06,Miami,106,Boston Celtics,112
300108001,2010-01-08,Atlanta,93,Boston Celtics,85
300110028,2010-01-10,Toronto,107,Boston Celtics,114
300111002,2010-01-11,Boston Celtics,96,Atlanta,102
300113017,2010-01-13,Brooklyn,87,Boston Celtics,111
300114002,2010-01-14,Boston Celtics,83,Chicago,96
300118002,2010-01-18,Boston Celtics,90,Dallas,99
