,PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,GP_Normalized,GS_Normalized,MIN_Normalized,PPG_Normalized,OFFR_Normalized,DEFR_Normalized,RPG_Normalized,APG_Normalized,SPG_Normalized,BPG_Normalized,TPG_Normalized,FPG_Normalized,A/TO_Normalized,PER_Normalized,scores_Normalized
0,"Paul Pierce, SF",71.0,71.0,34.0,18.3,0.5,3.8,4.4,3.1,1.18,0.44,2.3,2.8,1.3,18.2,0.864197530864,0.865853658537,0.821256038647,0.607973421927,0.113636363636,0.39175257732,0.333333333333,0.281818181818,0.50643776824,0.158273381295,0.605263157895,0.7,0.216666666667,0.788218793829,7.25468087401
1,"Ray Allen, SG",80.0,80.0,35.2,16.3,0.6,2.6,3.2,2.6,0.8,0.31,1.6,2.3,1.6,15.2,0.975308641975,0.975609756098,0.850241545894,0.541528239203,0.136363636364,0.268041237113,0.242424242424,0.236363636364,0.343347639485,0.111510791367,0.421052631579,0.575,0.266666666667,0.746143057504,6.68960172204
2,"Kevin Garnett, PF",69.0,69.0,29.9,14.3,1.1,6.2,7.3,2.7,0.99,0.83,1.5,2.5,1.8,19.5,0.83950617284,0.841463414634,0.722222222222,0.475083056478,0.25,0.639175257732,0.55303030303,0.245454545455,0.424892703863,0.298561151079,0.394736842105,0.625,0.3,0.806451612903,7.41557728234
3,"Rajon Rondo, PG",81.0,81.0,36.6,13.7,1.2,3.2,4.4,9.8,2.33,0.14,3.0,2.4,3.2,19.2,0.987654320988,0.987804878049,0.884057971014,0.455149501661,0.272727272727,0.329896907216,0.333333333333,0.890909090909,1.0,0.0503597122302,0.789473684211,0.6,0.533333333333,0.802244039271,8.91694404494
4,"Kendrick Perkins, C",78.0,78.0,27.6,10.1,2.0,5.6,7.6,1.0,0.33,1.69,2.1,2.8,0.5,15.1,0.950617283951,0.951219512195,0.666666666667,0.335548172757,0.454545454545,0.577319587629,0.575757575758,0.0909090909091,0.141630901288,0.607913669065,0.552631578947,0.7,0.0833333333333,0.744740532959,7.43283336
5,"Rasheed Wallace, PF",79.0,13.0,22.5,9.0,0.5,3.6,4.1,1.0,1.01,0.89,0.8,2.8,1.3,13.2,0.962962962963,0.158536585366,0.54347826087,0.299003322259,0.113636363636,0.371134020619,0.310606060606,0.0909090909091,0.43347639485,0.320143884892,0.210526315789,0.7,0.216666666667,0.71809256662,5.44917249605
6,"Eddie House, SG†",50.0,0.0,16.9,7.2,0.1,1.2,1.4,1.0,0.56,0.14,0.5,1.2,1.8,12.0,0.604938271605,0.0,0.408212560386,0.239202657807,0.0227272727273,0.123711340206,0.106060606061,0.0909090909091,0.240343347639,0.0503597122302,0.131578947368,0.3,0.3,0.70126227209,3.31930607903
7,"Oliver Lafayette, G",1.0,0.0,22.0,7.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,12.9,0.0,0.0,0.531400966184,0.232558139535,0.227272727273,0.309278350515,0.30303030303,0.181818181818,0.0,0.0,0.263157894737,0.0,0.333333333333,0.713884992987,3.09573488941
8,"Nate Robinson, PG†",26.0,0.0,14.7,6.5,0.2,1.3,1.5,2.0,0.85,0.0,0.8,1.9,2.6,14.0,0.308641975309,0.0,0.355072463768,0.215946843854,0.0454545454545,0.134020618557,0.113636363636,0.181818181818,0.364806866953,0.0,0.210526315789,0.475,0.433333333333,0.729312762973,3.56757027145
9,"Glen Davis, PF",54.0,1.0,17.3,6.3,1.9,1.9,3.8,0.6,0.39,0.26,1.0,2.4,0.7,11.6,0.654320987654,0.0121951219512,0.417874396135,0.209302325581,0.431818181818,0.19587628866,0.287878787879,0.0545454545455,0.167381974249,0.0935251798561,0.263157894737,0.6,0.116666666667,0.695652173913,4.20019543365
10,"Tony Allen, SG",54.0,8.0,16.5,6.1,1.0,1.7,2.7,1.3,1.09,0.35,1.2,2.0,1.1,14.2,0.654320987654,0.0975609756098,0.398550724638,0.202657807309,0.227272727273,0.175257731959,0.204545454545,0.118181818182,0.467811158798,0.125899280576,0.315789473684,0.5,0.183333333333,0.732117812062,4.40329928562
11,"Marquis Daniels, SG",51.0,4.0,18.4,5.6,0.5,1.3,1.9,1.3,0.53,0.12,0.8,1.8,1.6,9.6,0.617283950617,0.0487804878049,0.444444444444,0.186046511628,0.113636363636,0.134020618557,0.143939393939,0.118181818182,0.227467811159,0.0431654676259,0.210526315789,0.45,0.266666666667,0.667601683029,3.67176153308
12,"Michael Finley, SG†",21.0,1.0,15.0,5.2,0.0,1.5,1.6,1.1,0.19,0.1,0.4,1.0,3.0,12.1,0.246913580247,0.0121951219512,0.36231884058,0.172757475083,0.0,0.154639175258,0.121212121212,0.1,0.0815450643777,0.0359712230216,0.105263157895,0.25,0.5,0.702664796634,2.84548055626
