,PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,GP_Normalized,GS_Normalized,MIN_Normalized,PPG_Normalized,OFFR_Normalized,DEFR_Normalized,RPG_Normalized,APG_Normalized,SPG_Normalized,BPG_Normalized,TPG_Normalized,FPG_Normalized,A/TO_Normalized,PER_Normalized,scores_Normalized
0,"Isaiah Thomas, PG",50.0,50.0,34.5,29.8,0.6,2.1,2.7,6.3,0.84,0.12,2.6,2.1,2.4,27.7,0.875,0.877192982456,0.915300546448,0.955128205128,0.142857142857,0.201923076923,0.192857142857,0.557522123894,0.373333333333,0.0478087649402,0.440677966102,0.538461538462,0.3,0.544871794872,6.96293461827
1,"Avery Bradley, SG",36.0,36.0,34.9,17.7,1.1,5.8,6.9,2.4,1.31,0.22,1.8,2.7,1.3,15.6,0.625,0.631578947368,0.926229508197,0.567307692308,0.261904761905,0.557692307692,0.492857142857,0.212389380531,0.582222222222,0.0876494023904,0.305084745763,0.692307692308,0.1625,0.350961538462,6.455685342
2,"Al Horford, C",42.0,42.0,33.1,14.9,1.4,5.4,6.8,5.1,0.71,1.62,1.7,2.2,3.0,18.2,0.732142857143,0.736842105263,0.877049180328,0.477564102564,0.333333333333,0.519230769231,0.485714285714,0.451327433628,0.315555555556,0.645418326693,0.28813559322,0.564102564103,0.375,0.392628205128,7.1940443119
3,"Jae Crowder, SF",44.0,44.0,32.5,14.0,0.6,4.7,5.3,2.2,1.11,0.34,1.0,2.2,2.1,15.8,0.767857142857,0.771929824561,0.860655737705,0.448717948718,0.142857142857,0.451923076923,0.378571428571,0.194690265487,0.493333333333,0.135458167331,0.169491525424,0.564102564103,0.2625,0.354166666667,5.99625482454
4,"Marcus Smart, PG",51.0,19.0,30.9,10.1,1.0,2.9,3.9,4.6,1.61,0.39,2.0,2.3,2.3,11.7,0.892857142857,0.333333333333,0.81693989071,0.323717948718,0.238095238095,0.278846153846,0.278571428571,0.407079646018,0.715555555556,0.155378486056,0.338983050847,0.589743589744,0.2875,0.288461538462,5.94506300281
5,"Kelly Olynyk, C",47.0,5.0,21.1,9.0,0.9,3.8,4.7,1.9,0.68,0.43,1.2,2.6,1.6,15.4,0.821428571429,0.0877192982456,0.549180327869,0.288461538462,0.214285714286,0.365384615385,0.335714285714,0.16814159292,0.302222222222,0.171314741036,0.203389830508,0.666666666667,0.2,0.347756410256,4.721665815
6,"Amir Johnson, PF",53.0,50.0,19.8,6.5,1.6,2.9,4.5,1.7,0.55,0.64,0.9,2.6,1.9,15.1,0.928571428571,0.877192982456,0.513661202186,0.208333333333,0.380952380952,0.278846153846,0.321428571429,0.150442477876,0.244444444444,0.254980079681,0.152542372881,0.666666666667,0.2375,0.342948717949,5.55851081227
7,"Jaylen Brown, SF",53.0,13.0,15.5,5.7,0.5,2.0,2.6,0.6,0.42,0.25,0.7,1.7,0.9,9.7,0.928571428571,0.228070175439,0.396174863388,0.182692307692,0.119047619048,0.192307692308,0.185714285714,0.0530973451327,0.186666666667,0.0996015936255,0.118644067797,0.435897435897,0.1125,0.25641025641,3.49539573769
8,"Terry Rozier, PG",49.0,0.0,18.0,5.7,0.6,2.5,3.1,1.7,0.67,0.18,0.6,1.0,3.1,11.2,0.857142857143,0.0,0.464480874317,0.182692307692,0.142857142857,0.240384615385,0.221428571429,0.150442477876,0.297777777778,0.0717131474104,0.101694915254,0.25641025641,0.3875,0.280448717949,3.6549736615
9,"Gerald Green, SF",33.0,0.0,11.5,5.5,0.4,1.4,1.8,0.8,0.21,0.15,0.5,1.1,1.7,12.5,0.571428571429,0.0,0.286885245902,0.176282051282,0.0952380952381,0.134615384615,0.128571428571,0.070796460177,0.0933333333333,0.0597609561753,0.0847457627119,0.282051282051,0.2125,0.301282051282,2.49749062277
10,"Jonas Jerebko, PF",53.0,5.0,16.9,4.2,0.8,2.6,3.5,0.9,0.42,0.25,0.6,1.7,1.4,9.4,0.928571428571,0.0877192982456,0.434426229508,0.134615384615,0.190476190476,0.25,0.25,0.0796460176991,0.186666666667,0.0996015936255,0.101694915254,0.435897435897,0.175,0.251602564103,3.60591772466
11,"Tyler Zeller, C",33.0,5.0,12.0,4.0,1.1,1.9,3.0,0.8,0.18,0.55,0.4,1.3,2.2,13.3,0.571428571429,0.0877192982456,0.300546448087,0.128205128205,0.261904761905,0.182692307692,0.214285714286,0.070796460177,0.08,0.219123505976,0.0677966101695,0.333333333333,0.275,0.314102564103,3.10693470361
12,"Demetrius Jackson, PG",4.0,0.0,4.3,2.5,0.5,0.5,1.0,0.8,0.0,0.0,0.0,0.0,0.0,31.2,0.0535714285714,0.0,0.0901639344262,0.0801282051282,0.119047619048,0.0480769230769,0.0714285714286,0.070796460177,0.0,0.0,0.0,0.0,0.0,0.600961538462,1.13417468032
13,"Jordan Mickey, PF",15.0,1.0,7.6,2.3,0.8,1.0,1.8,0.3,0.13,0.2,0.5,0.6,0.7,10.9,0.25,0.0175438596491,0.180327868852,0.0737179487179,0.190476190476,0.0961538461538,0.128571428571,0.0265486725664,0.0577777777778,0.0796812749004,0.0847457627119,0.153846153846,0.0875,0.275641025641,1.70253180986
14,"James Young, SG",17.0,0.0,6.5,2.1,0.2,0.6,0.8,0.2,0.18,0.0,0.1,0.5,2.0,10.0,0.285714285714,0.0,0.150273224044,0.0673076923077,0.047619047619,0.0576923076923,0.0571428571429,0.0176991150442,0.08,0.0,0.0169491525424,0.128205128205,0.25,0.261217948718,1.41982075903
15,"Brook Lopez, C",49.0,49.0,29.4,20.5,1.6,3.7,5.3,2.5,0.53,1.69,2.4,2.6,1.0,21.0,0.857142857143,0.859649122807,0.775956284153,0.657051282051,0.380952380952,0.355769230769,0.378571428571,0.221238938053,0.235555555556,0.673306772908,0.406779661017,0.666666666667,0.125,0.4375,7.03114018065
16,"Bojan Bogdanovic, SG",53.0,52.0,26.9,14.3,0.4,3.1,3.5,1.6,0.45,0.06,1.7,1.8,1.0,13.2,0.928571428571,0.912280701754,0.707650273224,0.458333333333,0.0952380952381,0.298076923077,0.25,0.141592920354,0.2,0.0239043824701,0.28813559322,0.461538461538,0.125,0.3125,5.20282211278
17,"Jeremy Lin, PG",12.0,9.0,25.0,13.9,0.2,3.1,3.3,5.8,1.42,0.58,2.7,1.0,2.2,20.0,0.196428571429,0.157894736842,0.655737704918,0.445512820513,0.047619047619,0.298076923077,0.235714285714,0.513274336283,0.631111111111,0.231075697211,0.457627118644,0.25641025641,0.275,0.421474358974,4.82295696875
18,"Sean Kilpatrick, SG",53.0,24.0,26.1,13.5,0.3,3.8,4.1,2.3,0.68,0.09,2.2,1.9,1.0,12.6,0.928571428571,0.421052631579,0.685792349727,0.432692307692,0.0714285714286,0.365384615385,0.292857142857,0.203539823009,0.302222222222,0.0358565737052,0.372881355932,0.487179487179,0.125,0.302884615385,5.02734312467
19,"Trevor Booker, PF",49.0,43.0,26.2,10.0,2.1,6.6,8.7,2.2,1.29,0.45,1.9,2.2,1.2,16.0,0.857142857143,0.754385964912,0.688524590164,0.320512820513,0.5,0.634615384615,0.621428571429,0.194690265487,0.573333333333,0.179282868526,0.322033898305,0.564102564103,0.15,0.357371794872,6.7174249134
20,"Joe Harris, SF",46.0,10.0,22.3,8.4,0.3,2.6,2.9,1.1,0.59,0.11,1.1,2.4,1.0,9.2,0.803571428571,0.175438596491,0.581967213115,0.269230769231,0.0714285714286,0.25,0.207142857143,0.0973451327434,0.262222222222,0.0438247011952,0.186440677966,0.615384615385,0.125,0.248397435897,3.93739422139
21,"Rondae Hollis-Jefferson, SF",50.0,22.0,21.8,7.8,0.8,4.2,5.1,2.0,0.98,0.54,1.5,2.2,1.3,12.3,0.875,0.385964912281,0.568306010929,0.25,0.190476190476,0.403846153846,0.364285714286,0.176991150442,0.435555555556,0.215139442231,0.254237288136,0.564102564103,0.1625,0.298076923077,5.14448190536
22,"Caris LeVert, SG",30.0,1.0,20.2,7.3,0.4,2.5,2.9,1.8,0.97,0.17,1.1,1.4,1.7,11.9,0.517857142857,0.0175438596491,0.524590163934,0.233974358974,0.0952380952381,0.240384615385,0.207142857143,0.159292035398,0.431111111111,0.0677290836653,0.186440677966,0.358974358974,0.2125,0.291666666667,3.54444502696
23,"Isaiah Whitehead, PG",46.0,26.0,22.0,7.0,0.3,2.2,2.5,3.0,0.54,0.5,2.0,2.5,1.5,6.8,0.803571428571,0.456140350877,0.573770491803,0.224358974359,0.0714285714286,0.211538461538,0.178571428571,0.265486725664,0.24,0.199203187251,0.338983050847,0.641025641026,0.1875,0.209935897436,4.60151420937
24,"Justin Hamilton, C",47.0,6.0,19.7,7.0,1.2,3.2,4.5,0.8,0.49,0.81,0.7,1.4,1.2,13.2,0.821428571429,0.105263157895,0.510928961749,0.224358974359,0.285714285714,0.307692307692,0.321428571429,0.070796460177,0.217777777778,0.322709163347,0.118644067797,0.358974358974,0.15,0.3125,4.12821665834
25,"Quincy Acy, SF†",12.0,0.0,11.2,6.5,0.9,1.7,2.6,0.2,0.25,0.58,0.4,1.3,0.4,21.9,0.196428571429,0.0,0.27868852459,0.208333333333,0.214285714286,0.163461538462,0.185714285714,0.0176991150442,0.111111111111,0.231075697211,0.0677966101695,0.333333333333,0.05,0.451923076923,2.50985091161
26,"Spencer Dinwiddie, PG",31.0,14.0,21.0,6.2,0.4,2.2,2.5,2.8,0.52,0.39,1.2,2.0,2.3,10.2,0.535714285714,0.245614035088,0.546448087432,0.198717948718,0.0952380952381,0.211538461538,0.178571428571,0.247787610619,0.231111111111,0.155378486056,0.203389830508,0.512820512821,0.2875,0.264423076923,3.91425297034
27,"Randy Foye, SG",41.0,12.0,19.0,5.5,0.2,2.3,2.4,2.1,0.39,0.17,1.4,1.4,1.5,7.1,0.714285714286,0.210526315789,0.491803278689,0.176282051282,0.047619047619,0.221153846154,0.171428571429,0.185840707965,0.173333333333,0.0677290836653,0.237288135593,0.358974358974,0.1875,0.214743589744,3.45850803452
28,"Yogi Ferrell, PG†",10.0,0.0,15.1,5.4,0.4,0.8,1.2,1.7,0.2,0.2,1.4,1.1,1.2,6.6,0.160714285714,0.0,0.385245901639,0.173076923077,0.0952380952381,0.0769230769231,0.0857142857143,0.150442477876,0.0888888888889,0.0796812749004,0.237288135593,0.282051282051,0.15,0.206730769231,2.17199539685
29,"Luis Scola, PF",35.0,1.0,12.7,5.3,1.4,2.4,3.9,0.9,0.4,0.11,1.0,1.7,1.0,14.3,0.607142857143,0.0175438596491,0.319672131148,0.169871794872,0.333333333333,0.230769230769,0.278571428571,0.0796460176991,0.177777777778,0.0438247011952,0.169491525424,0.435897435897,0.125,0.330128205128,3.31867029861
30,"Anthony Bennett, PF",23.0,1.0,11.5,5.0,1.1,2.3,3.4,0.5,0.22,0.13,0.5,0.8,1.0,14.8,0.392857142857,0.0175438596491,0.286885245902,0.160256410256,0.261904761905,0.221153846154,0.242857142857,0.0442477876106,0.0977777777778,0.0517928286853,0.0847457627119,0.205128205128,0.125,0.338141025641,2.53029179713
31,"Chris McCullough, PF",13.0,0.0,5.5,2.7,0.7,0.6,1.3,0.2,0.08,0.15,0.2,0.5,1.0,17.1,0.214285714286,0.0,0.122950819672,0.0865384615385,0.166666666667,0.0576923076923,0.0928571428571,0.0176991150442,0.0355555555556,0.0597609561753,0.0338983050847,0.128205128205,0.125,0.375,1.51611017278
32,"Greivis Vasquez, PG",3.0,0.0,13.0,2.3,0.0,0.7,0.7,1.7,0.33,0.33,0.3,2.0,5.0,4.1,0.0357142857143,0.0,0.327868852459,0.0737179487179,0.0,0.0673076923077,0.05,0.150442477876,0.146666666667,0.131474103586,0.0508474576271,0.512820512821,0.625,0.166666666667,2.33852666444
33,"Carmelo Anthony, SF",55.0,55.0,34.0,23.2,0.9,5.2,6.1,2.9,0.85,0.44,2.0,2.7,1.5,19.3,0.964285714286,0.964912280702,0.901639344262,0.74358974359,0.214285714286,0.5,0.435714285714,0.256637168142,0.377777777778,0.175298804781,0.338983050847,0.692307692308,0.1875,0.410256410256,7.16318798695
34,"Kristaps Porzingis, PF",48.0,47.0,33.1,18.5,1.7,5.4,7.1,1.3,0.73,1.96,1.8,3.9,0.8,17.6,0.839285714286,0.824561403509,0.877049180328,0.592948717949,0.404761904762,0.519230769231,0.507142857143,0.115044247788,0.324444444444,0.780876494024,0.305084745763,1.0,0.1,0.383012820513,7.57344329974
35,"Derrick Rose, PG",47.0,47.0,32.0,17.6,1.1,2.8,3.9,4.4,0.68,0.36,2.5,1.4,1.8,16.3,0.821428571429,0.824561403509,0.846994535519,0.564102564103,0.261904761905,0.269230769231,0.278571428571,0.389380530973,0.302222222222,0.143426294821,0.423728813559,0.358974358974,0.225,0.362179487179,6.071705742
36,"Courtney Lee, SG",51.0,48.0,31.2,10.1,0.7,2.5,3.2,2.1,0.88,0.31,0.7,1.8,2.8,11.6,0.892857142857,0.842105263158,0.825136612022,0.323717948718,0.166666666667,0.240384615385,0.228571428571,0.185840707965,0.391111111111,0.123505976096,0.118644067797,0.461538461538,0.35,0.286858974359,5.43693897624
37,"Brandon Jennings, PG",56.0,11.0,25.0,8.7,0.4,2.3,2.6,5.0,0.96,0.05,1.9,1.4,2.7,12.8,0.982142857143,0.19298245614,0.655737704918,0.278846153846,0.0952380952381,0.221153846154,0.185714285714,0.442477876106,0.426666666667,0.0199203187251,0.322033898305,0.358974358974,0.3375,0.30608974359,4.82547826152
38,"Justin Holiday, SG",56.0,2.0,19.7,7.4,0.4,2.5,2.9,1.1,0.86,0.34,0.9,1.5,1.3,12.3,0.982142857143,0.0350877192982,0.510928961749,0.237179487179,0.0952380952381,0.240384615385,0.207142857143,0.0973451327434,0.382222222222,0.135458167331,0.152542372881,0.384615384615,0.1625,0.298076923077,3.920864796
39,"Willy Hernangomez, C",48.0,2.0,15.3,6.5,1.9,3.9,5.8,1.0,0.42,0.48,1.2,1.6,0.9,18.7,0.839285714286,0.0350877192982,0.390710382514,0.208333333333,0.452380952381,0.375,0.414285714286,0.0884955752212,0.186666666667,0.191235059761,0.203389830508,0.410256410256,0.1125,0.400641025641,4.30826838415
40,"Kyle O'Quinn, C",54.0,8.0,15.4,6.5,2.0,3.6,5.6,1.3,0.41,1.31,0.9,2.2,1.3,20.9,0.946428571429,0.140350877193,0.393442622951,0.208333333333,0.47619047619,0.346153846154,0.4,0.115044247788,0.182222222222,0.521912350598,0.152542372881,0.564102564103,0.1625,0.435897435897,5.04512092074
41,"Mindaugas Kuzminskas, SF",47.0,3.0,14.6,6.0,0.7,1.2,1.9,1.0,0.53,0.19,0.7,1.2,1.3,12.4,0.821428571429,0.0526315789474,0.371584699454,0.192307692308,0.166666666667,0.115384615385,0.135714285714,0.0884955752212,0.235555555556,0.0756972111554,0.118644067797,0.307692307692,0.1625,0.299679487179,3.1439823145
42,"Joakim Noah, C",46.0,46.0,22.1,5.0,3.5,5.2,8.7,2.2,0.65,0.8,1.3,2.8,1.8,15.1,0.803571428571,0.80701754386,0.57650273224,0.160256410256,0.833333333333,0.5,0.621428571429,0.194690265487,0.288888888889,0.318725099602,0.220338983051,0.717948717949,0.225,0.342948717949,6.61065069262
43,"Lance Thomas, SF",31.0,6.0,17.5,4.7,0.5,1.4,1.9,0.5,0.45,0.1,0.5,1.8,1.0,6.2,0.535714285714,0.105263157895,0.450819672131,0.150641025641,0.119047619048,0.134615384615,0.135714285714,0.0442477876106,0.2,0.0398406374502,0.0847457627119,0.461538461538,0.125,0.200320512821,2.78750859289
44,"Ron Baker, SG",27.0,3.0,11.5,3.2,0.2,1.3,1.5,1.1,0.59,0.11,0.7,1.0,1.6,8.1,0.464285714286,0.0526315789474,0.286885245902,0.102564102564,0.047619047619,0.125,0.107142857143,0.0973451327434,0.262222222222,0.0438247011952,0.118644067797,0.25641025641,0.2,0.230769230769,2.3953441576
45,"Sasha Vujacic, SG",28.0,2.0,8.2,2.3,0.1,1.1,1.2,0.8,0.32,0.07,0.4,0.8,2.3,8.3,0.482142857143,0.0350877192982,0.196721311475,0.0737179487179,0.0238095238095,0.105769230769,0.0857142857143,0.070796460177,0.142222222222,0.0278884462151,0.0677966101695,0.205128205128,0.2875,0.233974358974,2.03826917981
46,"Maurice Ndour, SF",20.0,0.0,7.2,2.3,0.5,1.0,1.4,0.1,0.4,0.1,0.3,0.8,0.2,11.3,0.339285714286,0.0,0.169398907104,0.0737179487179,0.119047619048,0.0961538461538,0.1,0.00884955752212,0.177777777778,0.0398406374502,0.0508474576271,0.205128205128,0.025,0.282051282051,1.68709895287
47,"Marshall Plumlee, C",8.0,0.0,8.1,1.1,1.0,1.1,2.1,0.5,0.13,0.25,0.5,1.5,1.0,8.6,0.125,0.0,0.193989071038,0.0352564102564,0.238095238095,0.105769230769,0.15,0.0442477876106,0.0577777777778,0.0996015936255,0.0847457627119,0.384615384615,0.125,0.238782051282,1.88288030778
48,"Joel Embiid, C",31.0,31.0,25.4,20.2,2.0,5.9,7.8,2.1,0.87,2.45,3.8,3.6,0.6,24.3,0.535714285714,0.543859649123,0.666666666667,0.647435897436,0.47619047619,0.567307692308,0.557142857143,0.185840707965,0.386666666667,0.97609561753,0.64406779661,0.923076923077,0.075,0.490384615385,7.67544985181
49,"Ersan Ilyasova, PF†",51.0,38.0,27.7,15.3,1.3,4.6,5.9,1.8,0.61,0.27,1.5,2.5,1.2,15.9,0.892857142857,0.666666666667,0.729508196721,0.490384615385,0.309523809524,0.442307692308,0.421428571429,0.159292035398,0.271111111111,0.107569721116,0.254237288136,0.641025641026,0.15,0.355769230769,5.89168172245
50,"Jahlil Okafor, C",37.0,22.0,23.2,11.6,1.6,3.2,4.8,1.0,0.38,1.03,1.5,2.4,0.7,15.0,0.642857142857,0.385964912281,0.606557377049,0.371794871795,0.380952380952,0.307692307692,0.342857142857,0.0884955752212,0.168888888889,0.410358565737,0.254237288136,0.615384615385,0.0875,0.341346153846,5.0048872227
51,"Robert Covington, SF",48.0,48.0,31.1,11.5,1.4,4.7,6.1,1.6,1.88,0.9,1.9,3.0,0.8,11.8,0.839285714286,0.842105263158,0.822404371585,0.36858974359,0.333333333333,0.451923076923,0.435714285714,0.141592920354,0.835555555556,0.358565737052,0.322033898305,0.769230769231,0.1,0.290064102564,6.91039877165
52,"Jerryd Bayless, PG",3.0,1.0,23.7,11.0,1.0,3.0,4.0,4.3,0.0,0.0,3.0,1.3,1.4,8.9,0.0357142857143,0.0175438596491,0.620218579235,0.352564102564,0.238095238095,0.288461538462,0.285714285714,0.380530973451,0.0,0.0,0.508474576271,0.333333333333,0.175,0.24358974359,3.47924051608
53,"Dario Saric, PF",54.0,11.0,24.1,10.5,1.3,4.4,5.7,1.8,0.63,0.26,1.9,1.7,0.9,11.2,0.946428571429,0.19298245614,0.631147540984,0.336538461538,0.309523809524,0.423076923077,0.407142857143,0.159292035398,0.28,0.103585657371,0.322033898305,0.435897435897,0.1125,0.280448717949,4.94059836475
54,"Gerald Henderson, SG",49.0,33.0,23.9,9.7,0.4,2.1,2.5,1.7,0.59,0.22,0.9,1.7,2.0,12.0,0.857142857143,0.578947368421,0.625683060109,0.310897435897,0.0952380952381,0.201923076923,0.178571428571,0.150442477876,0.262222222222,0.0876494023904,0.152542372881,0.435897435897,0.25,0.293269230769,4.48042646434
55,"Nik Stauskas, SG",52.0,24.0,27.1,8.9,0.2,2.4,2.6,2.3,0.52,0.46,1.5,1.9,1.5,9.0,0.910714285714,0.421052631579,0.713114754098,0.285256410256,0.047619047619,0.230769230769,0.185714285714,0.203539823009,0.231111111111,0.183266932271,0.254237288136,0.487179487179,0.1875,0.245192307692,4.58626759515
56,"Nerlens Noel, PF",27.0,5.0,18.7,8.5,1.6,3.3,4.8,1.0,1.33,0.89,0.9,2.4,1.1,20.6,0.464285714286,0.0877192982456,0.483606557377,0.272435897436,0.380952380952,0.317307692308,0.342857142857,0.0884955752212,0.591111111111,0.354581673307,0.152542372881,0.615384615385,0.1375,0.43108974359,4.71986977496
57,"Sergio Rodriguez, PG",49.0,30.0,23.0,8.1,0.3,2.2,2.5,5.1,0.84,0.08,2.1,1.3,2.4,11.3,0.857142857143,0.526315789474,0.601092896175,0.259615384615,0.0714285714286,0.211538461538,0.178571428571,0.451327433628,0.373333333333,0.0318725099602,0.35593220339,0.333333333333,0.3,0.282051282051,4.83355548464
58,"Jerami Grant, SF†",2.0,0.0,20.5,8.0,0.0,3.0,3.0,0.0,0.0,2.0,1.5,2.5,0.0,3.1,0.0178571428571,0.0,0.532786885246,0.25641025641,0.0,0.288461538462,0.214285714286,0.0,0.0,0.796812749004,0.254237288136,0.641025641026,0.0,0.150641025641,3.15251824107
59,"Richaun Holmes, PF",30.0,2.0,15.8,6.7,1.5,2.8,4.3,0.8,0.53,0.77,0.9,2.0,0.9,16.7,0.517857142857,0.0350877192982,0.404371584699,0.214743589744,0.357142857143,0.269230769231,0.307142857143,0.070796460177,0.235555555556,0.306772908367,0.152542372881,0.512820512821,0.1125,0.36858974359,3.86515407351
60,"TJ McConnell, PG",53.0,23.0,24.6,6.0,0.4,2.6,3.0,6.1,1.45,0.11,1.8,1.7,3.4,13.1,0.928571428571,0.40350877193,0.644808743169,0.192307692308,0.0952380952381,0.25,0.214285714286,0.53982300885,0.644444444444,0.0438247011952,0.305084745763,0.435897435897,0.425,0.310897435897,5.43369221755
61,"Hollis Thompson, SF",31.0,1.0,18.1,5.5,0.5,2.2,2.7,0.8,0.45,0.19,0.3,1.8,2.9,9.1,0.535714285714,0.0175438596491,0.467213114754,0.176282051282,0.119047619048,0.211538461538,0.192857142857,0.070796460177,0.2,0.0756972111554,0.0508474576271,0.461538461538,0.3625,0.246794871795,3.18837099714
62,"Chasson Randle, PG",8.0,0.0,9.3,5.3,0.0,0.6,0.6,0.8,0.38,0.13,0.4,1.4,2.0,17.9,0.125,0.0,0.226775956284,0.169871794872,0.0,0.0576923076923,0.0428571428571,0.070796460177,0.168888888889,0.0517928286853,0.0677966101695,0.358974358974,0.25,0.387820512821,1.97826686142
63,"Timothe Luwawu-Cabarrot, SG",41.0,1.0,11.4,3.7,0.2,1.2,1.5,0.7,0.22,0.15,0.8,1.6,0.9,6.6,0.714285714286,0.0175438596491,0.284153005464,0.11858974359,0.047619047619,0.115384615385,0.107142857143,0.0619469026549,0.0977777777778,0.0597609561753,0.135593220339,0.410256410256,0.1125,0.206730769231,2.48928487957
