id,date,home_team,home_team_score,visit_team,visit_team_score
271102002,2008-11-02,Boston Celtics,103,Washington,83
271104028,2008-11-04,Toronto,95,Boston Celtics,98
271107002,2008-11-07,Boston Celtics,119,Denver,93
271109002,2008-11-09,Boston Celtics,106,Atlanta,83
271110017,2008-11-10,Brooklyn,101,Boston Celtics,112
271113011,2008-11-13,Indiana,86,Boston Celtics,101
271114002,2008-11-14,Boston Celtics,91,Brooklyn,69
271116002,2008-11-16,Boston Celtics,92,Miami,91
271118019,2008-11-18,Orlando,104,Boston Celtics,102
271121002,2008-11-21,Boston Celtics,105,Golden State,82
271123002,2008-11-23,Boston Celtics,107,Los Angeles,94
271124030,2008-11-24,Charlotte,95,Boston Celtics,96
271127005,2008-11-27,Cleveland,109,Boston Celtics,104
271129002,2008-11-29,Boston Celtics,104,NY Knicks,59
271130014,2008-11-30,Miami,85,Boston Celtics,95
271202002,2008-12-02,Boston Celtics,80,Cleveland,70
271205020,2008-12-05,Philadelphia,103,Boston Celtics,113
271207002,2008-12-07,Boston Celtics,112,Toronto,84
271208004,2008-12-08,Chicago,81,Boston Celtics,92
271212002,2008-12-12,Boston Celtics,90,Sacramento,78
271214002,2008-12-14,Boston Celtics,104,Milwaukee,82
271216028,2008-12-16,Toronto,77,Boston Celtics,90
271219002,2008-12-19,Boston Celtics,85,Detroit,87
271221002,2008-12-21,Boston Celtics,107,Chicago,82
271223002,2008-12-23,Boston Celtics,103,Orlando,91
271226023,2008-12-26,Sacramento,69,Boston Celtics,89
271227025,2008-12-27,Oklahoma City,96,Boston Celtics,104
271229026,2008-12-29,Utah,98,Boston Celtics,104
271230013,2008-12-30,Los Angeles,91,Boston Celtics,110
280102002,2008-01-02,Boston Celtics,97,Houston,93
280104002,2008-01-04,Boston Celtics,100,Memphis,96
280105008,2008-01-05,Detroit,85,Boston Celtics,92
280109002,2008-01-09,Boston Celtics,83,Charlotte,95
280111017,2008-01-11,Brooklyn,77,Boston Celtics,86
280112027,2008-01-12,Washington,85,Boston Celtics,78
280114002,2008-01-14,Boston Celtics,83,Washington,88
280116002,2008-01-16,Boston Celtics,100,Portland,90
280118002,2008-01-18,Boston Celtics,116,Philadelphia,89
280121018,2008-01-21,NY Knicks,93,Boston Celtics,109
280123002,2008-01-23,Boston Celtics,112,Toronto,114
280125002,2008-01-25,Boston Celtics,87,Minnesota,86
280127019,2008-01-27,Orlando,96,Boston Celtics,93
280129014,2008-01-29,Miami,87,Boston Celtics,117
280131002,2008-01-31,Boston Celtics,96,Dallas,90
280205005,2008-02-05,Cleveland,114,Boston Celtics,113
280206002,2008-02-06,Boston Celtics,111,LA,100
280208016,2008-02-08,Minnesota,86,Boston Celtics,88
280210002,2008-02-10,Boston Celtics,98,San Antonio,90
280212011,2008-02-12,Indiana,97,Boston Celtics,104
280213002,2008-02-13,Boston Celtics,111,NY Knicks,103
280219007,2008-02-19,Denver,124,Boston Celtics,118
280220009,2008-02-20,Golden State,119,Boston Celtics,117
280222021,2008-02-22,Phoenix,85,Boston Celtics,77
280224022,2008-02-24,Portland,102,Boston Celtics,112
280225012,2008-02-25,LA,76,Boston Celtics,104
280227002,2008-02-27,Boston Celtics,92,Cleveland,87
280302002,2008-03-02,Boston Celtics,98,Atlanta,88
280305002,2008-03-05,Boston Celtics,90,Detroit,78
280307002,2008-03-07,Boston Celtics,116,Chicago,93
280308029,2008-03-08,Memphis,89,Boston Celtics,119
280310020,2008-03-10,Philadelphia,86,Boston Celtics,100
280312002,2008-03-12,Boston Celtics,111,Oklahoma City,82
280314002,2008-03-14,Boston Celtics,92,Utah,110
280315015,2008-03-15,Milwaukee,77,Boston Celtics,99
280317024,2008-03-17,San Antonio,91,Boston Celtics,93
280318010,2008-03-18,Houston,74,Boston Celtics,94
280320006,2008-03-20,Dallas,90,Boston Celtics,94
280322003,2008-03-22,New Orleans,113,Boston Celtics,106
280324002,2008-03-24,Boston Celtics,90,Philadelphia,95
280326002,2008-03-26,Boston Celtics,117,Phoenix,97
280328002,2008-03-28,Boston Celtics,112,New Orleans,92
280330002,2008-03-30,Boston Celtics,88,Miami,62
280401004,2008-04-01,Chicago,92,Boston Celtics,106
280402002,2008-04-02,Boston Celtics,92,Indiana,77
280405030,2008-04-05,Charlotte,78,Boston Celtics,101
280408015,2008-04-08,Milwaukee,104,Boston Celtics,107
280409027,2008-04-09,Washington,109,Boston Celtics,95
280411002,2008-04-11,Boston Celtics,102,Milwaukee,86
280412001,2008-04-12,Atlanta,89,Boston Celtics,99
