id,date,home_team,home_team_score,visit_team,visit_team_score
311225018,2012-12-25,NY Knicks,106,Boston Celtics,104
311227014,2012-12-27,Miami,115,Boston Celtics,107
311228003,2012-12-28,New Orleans,97,Boston Celtics,78
311230002,2012-12-30,Boston Celtics,96,Detroit,85
320101027,2012-01-01,Washington,86,Boston Celtics,94
320102002,2012-01-02,Boston Celtics,100,Washington,92
320104002,2012-01-04,Boston Celtics,89,Brooklyn,70
320106002,2012-01-06,Boston Celtics,74,Indiana,87
320111002,2012-01-11,Boston Celtics,85,Dallas,90
320113002,2012-01-13,Boston Celtics,79,Chicago,88
320114011,2012-01-14,Indiana,97,Boston Celtics,83
320116002,2012-01-16,Boston Celtics,88,Oklahoma City,97
320118002,2012-01-18,Boston Celtics,96,Toronto,73
320120002,2012-01-20,Boston Celtics,71,Phoenix,79
320122027,2012-01-22,Washington,94,Boston Celtics,100
320123002,2012-01-23,Boston Celtics,87,Orlando,56
320126019,2012-01-26,Orlando,83,Boston Celtics,91
320127002,2012-01-27,Boston Celtics,94,Indiana,87
320129002,2012-01-29,Boston Celtics,87,Cleveland,88
320131005,2012-01-31,Cleveland,90,Boston Celtics,93
320201002,2012-02-01,Boston Celtics,100,Toronto,64
320203002,2012-02-03,Boston Celtics,91,NY Knicks,89
320205002,2012-02-05,Boston Celtics,98,Memphis,80
320207002,2012-02-07,Boston Celtics,94,Charlotte,84
320209002,2012-02-09,Boston Celtics,87,Los Angeles,88
320210028,2012-02-10,Toronto,86,Boston Celtics,74
320212002,2012-02-12,Boston Celtics,95,Chicago,91
320215002,2012-02-15,Boston Celtics,88,Detroit,98
320216004,2012-02-16,Chicago,89,Boston Celtics,80
320219008,2012-02-19,Detroit,96,Boston Celtics,81
320220006,2012-02-20,Dallas,89,Boston Celtics,73
320222025,2012-02-22,Oklahoma City,119,Boston Celtics,104
320228005,2012-02-28,Cleveland,83,Boston Celtics,86
320302002,2012-03-02,Boston Celtics,107,Brooklyn,94
320304002,2012-03-04,Boston Celtics,115,NY Knicks,111
320306002,2012-03-06,Boston Celtics,97,Houston,92
320307020,2012-03-07,Philadelphia,103,Boston Celtics,71
320309002,2012-03-09,Boston Celtics,104,Portland,86
320311013,2012-03-11,Los Angeles,97,Boston Celtics,94
320312012,2012-03-12,LA,85,Boston Celtics,94
320314009,2012-03-14,Golden State,103,Boston Celtics,105
320316023,2012-03-16,Sacramento,120,Boston Celtics,95
320317007,2012-03-17,Denver,98,Boston Celtics,91
320319001,2012-03-19,Atlanta,76,Boston Celtics,79
320322015,2012-03-22,Milwaukee,91,Boston Celtics,100
320323020,2012-03-23,Philadelphia,99,Boston Celtics,86
320325002,2012-03-25,Boston Celtics,88,Washington,76
320326030,2012-03-26,Charlotte,95,Boston Celtics,102
320328002,2012-03-28,Boston Celtics,94,Utah,82
320330016,2012-03-30,Minnesota,79,Boston Celtics,100
320401002,2012-04-01,Boston Celtics,91,Miami,72
320404002,2012-04-04,Boston Celtics,86,San Antonio,87
320405004,2012-04-05,Chicago,93,Boston Celtics,86
320407011,2012-04-07,Indiana,72,Boston Celtics,86
320408002,2012-04-08,Boston Celtics,103,Philadelphia,79
320410014,2012-04-10,Miami,107,Boston Celtics,115
320411002,2012-04-11,Boston Celtics,88,Atlanta,86
320413028,2012-04-13,Toronto,84,Boston Celtics,79
320414017,2012-04-14,Brooklyn,82,Boston Celtics,94
320415030,2012-04-15,Charlotte,82,Boston Celtics,94
320417018,2012-04-17,NY Knicks,118,Boston Celtics,110
320418002,2012-04-18,Boston Celtics,102,Orlando,98
320420001,2012-04-20,Atlanta,97,Boston Celtics,92
320424002,2012-04-24,Boston Celtics,78,Miami,66
320426002,2012-04-26,Boston Celtics,87,Milwaukee,74
311226027,2012-12-26,Washington,84,Brooklyn Nets,90
311227017,2012-12-27,Brooklyn Nets,70,Atlanta,106
311229019,2012-12-29,Orlando,94,Brooklyn Nets,78
311230001,2012-12-30,Atlanta,105,Brooklyn Nets,98
320101005,2012-01-01,Cleveland,98,Brooklyn Nets,82
320102017,2012-01-02,Brooklyn Nets,94,Indiana,108
320104002,2012-01-04,Boston,89,Brooklyn Nets,70
320106028,2012-01-06,Toronto,85,Brooklyn Nets,97
320107017,2012-01-07,Brooklyn Nets,90,Miami,101
320109017,2012-01-09,Brooklyn Nets,101,Atlanta,106
320111007,2012-01-11,Denver,123,Brooklyn Nets,115
320113021,2012-01-13,Phoenix,103,Brooklyn Nets,110
320114026,2012-01-14,Utah,107,Brooklyn Nets,94
320116012,2012-01-16,LA,101,Brooklyn Nets,91
320118017,2012-01-18,Brooklyn Nets,107,Golden State,100
320121017,2012-01-21,Brooklyn Nets,74,Oklahoma City,84
320122017,2012-01-22,Brooklyn Nets,97,Charlotte,87
320123004,2012-01-23,Chicago,110,Brooklyn Nets,95
320125020,2012-01-25,Philadelphia,90,Brooklyn Nets,97
320127005,2012-01-27,Cleveland,96,Brooklyn Nets,99
320129017,2012-01-29,Brooklyn Nets,73,Toronto,94
320131011,2012-01-31,Indiana,106,Brooklyn Nets,99
320201017,2012-02-01,Brooklyn Nets,99,Detroit,96
320203017,2012-02-03,Brooklyn Nets,105,Minnesota,108
320204018,2012-02-04,NY Knicks,99,Brooklyn Nets,92
320206017,2012-02-06,Brooklyn Nets,87,Chicago,108
320208017,2012-02-08,Brooklyn Nets,92,Detroit,99
320210008,2012-02-10,Detroit,109,Brooklyn Nets,92
320211017,2012-02-11,Brooklyn Nets,89,San Antonio,103
320215017,2012-02-15,Brooklyn Nets,100,Memphis,105
320216011,2012-02-16,Indiana,93,Brooklyn Nets,88
320218004,2012-02-18,Chicago,85,Brooklyn Nets,97
320219017,2012-02-19,Brooklyn Nets,85,Milwaukee,92
320220018,2012-02-20,NY Knicks,92,Brooklyn Nets,100
320222017,2012-02-22,Brooklyn Nets,91,Orlando,108
320228006,2012-02-28,Dallas,92,Brooklyn Nets,93
320302002,2012-03-02,Boston,107,Brooklyn Nets,94
320304030,2012-03-04,Charlotte,101,Brooklyn Nets,104
320306014,2012-03-06,Miami,108,Brooklyn Nets,78
320307017,2012-03-07,Brooklyn Nets,101,LA,100
320309030,2012-03-09,Charlotte,74,Brooklyn Nets,83
320310017,2012-03-10,Brooklyn Nets,106,Houston,112
320312017,2012-03-12,Brooklyn Nets,99,Milwaukee,105
320314017,2012-03-14,Brooklyn Nets,98,Toronto,84
320316019,2012-03-16,Orlando,86,Brooklyn Nets,70
320317017,2012-03-17,Brooklyn Nets,94,New Orleans,102
320319017,2012-03-19,Brooklyn Nets,100,Cleveland,105
320321017,2012-03-21,Brooklyn Nets,89,Washington,108
320323001,2012-03-23,Atlanta,93,Brooklyn Nets,84
320324017,2012-03-24,Brooklyn Nets,102,Charlotte,89
320326017,2012-03-26,Brooklyn Nets,84,Utah,105
