Round,Rank,Value,Name,Inj,Team,Pos,g,m,p,3,r,a,s,b,fg%,fga,ft%,fta,to,3%,3a,2%,2a,adjfg%,dr,or,2d,3d,fg,fgm,pf,ft,ftm,3m,2,ato,a+to,netft,to48,3s48,dpg,ppg,g,s+b,p48,str,a-to,tech,3a/fga,ts%,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV,3%V,2%V,adjfg%V,drV,orV,2dV,3dV,fgV,fgaV,fgmV,pfV,ftV,ftaV,ftmV,mV,3aV,3mV,2V,2aV,atoV,netftV,to48V,3s48V,dpgV,ppgV,s+bV,p48V,strV,a-toV,techV,3a/fgaV,ts%V
1,1,0.925991363994752,Kevin Durant,,GSW,F,56,1911.55,1442,107,462,273,64,95,0.538947368421053,950,0.876056338028169,355,129,0.374125874125874,286,0.609939759036145,664,0.595263157894737,428,34,20,1,512,438,107,311,44,179,405,2.11627906976744,402,267,3.23925610106981,2.68682482801915,587,25.75,56,159,36.20935889723,0.496124031007752,144,8,0.301052631578947,0.651780871451817,1.87780350926597,0.655988213696076,0.975901236698152,0.816269848697831,0.359863112805233,2.00113211292427,2.06655619366789,1.45283668364334,-0.638696894120888,0.019910198342695,2.68205794687189,2.30034412160888,1.68152166436353,-0.708679135794314,1.05984369940414,0.22076214794557,1.91586123441867,1.27065458532079,-0.705173169156666,0.493640486559145,1.55493919989263,1.35321276083885,-0.152143254284478,0.916024683790529,0.693289059297668,-0.709246654633422,1.68624599333372,1.05382438037155,0.586926526728541,1.73258320478131,-0.378829097184098,0.45125729395941,1.8898153403024,1.87780350926597,1.87138767253183,1.97557647558274,-0.352565618453591,0.767024884687674,-1.67703553461124,-0.0246990277419451,3.05185632816658
1,2,0.830924314195499,James Harden,,HOU,G,58,2123.31666666667,1695,186,482,654,85,27,0.441095890410959,1095,0.85243328100471,637,336,0.352941176470588,527,0.522887323943662,568,0.526027397260274,414,68,45,16,483,612,156,543,94,341,297,1.94642857142857,990,449,7.59566401620107,4.20474258039702,526,29.2241379310345,58,112,38.3174122245858,0.25297619047619,318,4,0.481278538812785,0.616238147868071,2.47630269148838,2.06243818903886,0.997900687597012,3.68061796288095,1.14399481638473,-0.29665520788791,-1.08129643890033,1.81673354074376,-4.49503972825134,-1.30063737863717,0.171881179847175,-0.120634042016315,1.42694890060478,-0.100112473319983,3.22657413648719,5.96331780442698,1.49555430654753,1.71499642453776,-1.79907134333737,-0.762195752929913,3.62323731592308,3.48952717639892,-1.77839893980292,1.38244668441349,2.40581541522115,-2.60015318713448,0.542018760584423,0.491106108551821,0.829659960923184,3.58238237444316,-4.74060841445785,1.82941523869931,1.30353663372086,2.47630269148838,0.478283396960963,2.49502746835941,-3.72546566137987,2.55900013512992,-0.382036348950272,1.69258900331365,1.89259279430436
1,3,0.769964859201073,Anthony Davis,,NOR,F,53,1926.8,1471,26,640,117,66,134,0.503267973856209,1071,0.801310043668122,458,139,0.305882352941176,85,0.520283975659229,986,0.515406162464986,518,122,36,0,539,532,125,367,91,59,513,0.841726618705036,256,276,3.46273614282749,0.647706041104422,718,27.7547169811321,53,200,36.6452148640233,0.474820143884892,-22,2,0.0793650793650794,0.577986986452079,2.22316155135086,-0.884973671626604,2.37052410917873,-0.377399597933158,0.608779470962977,3.55402053786761,1.14193328627389,0.230598952256055,-0.991306818022339,-0.755132229634149,0.213503138351424,-0.569029890314048,2.75578826772985,1.11587011103289,2.72661491576625,-0.176693971476771,2.44529989896273,2.02318629547534,-1.59314094603967,-0.228280380114698,2.29947099772887,2.41239277961454,-1.96594286925103,1.33452584600332,-0.814505777331793,0.759016420717745,3.01236642754517,2.89315572618949,-1.71866270081135,2.00611008669308,-0.623697058238045,-1.31360050796304,3.16138967679597,2.22316155135086,3.30444512732661,2.18097015747055,-0.512265188639947,-1.07123290502629,0.165284061593229,-2.2915711362437,0.294425481672573
1,4,0.76038651339795,Kawhi Leonard,,SAS,F,51,1709.9,1319,103,300,169,91,36,0.487777777777778,900,0.898936170212766,376,106,0.396153846153846,260,0.525,640,0.545,240,60,6,0,439,461,78,338,38,157,336,1.59433962264151,275,300,2.9756126089245,2.89139715772852,367,25.8627450980392,51,127,37.0267267091643,0.858490566037736,63,0,0.288888888888889,0.618993092055864,1.89722641368588,0.774145470718259,0.112746310254632,0.11760869185747,1.91873712671676,0.152043160734919,0.497043917045283,2.14774742453401,-0.389890682624573,0.800030724508911,0.28472480818262,0.573692909565922,0.200762842511684,-0.0957449565830152,-0.179466131910142,-0.176693971476771,1.64003870335081,1.42907795716191,-1.19308192080044,1.10838999100468,2.13813586270461,1.82858439296029,-0.0730362480075959,0.801521441435937,0.689370995709128,-0.626081724896137,1.33730310968415,1.24245047335881,-0.250504686529944,2.42590018249348,-0.131988982588561,0.609181596639574,0.526540154034174,1.89722641368588,1.33594302089234,2.07432895639725,1.21557264087381,-0.0553895554227284,0.826629557666626,-0.133859489924598,1.87888014971066
1,5,0.681093311105412,Stephen Curry,,GSW,G,55,1837.65,1360,220,236,351,90,12,0.469135802469136,972,0.91566265060241,249,157,0.41044776119403,536,0.541284403669725,436,0.582304526748971,204,32,5,0,456,516,120,228,21,316,236,2.23566878980892,508,207,4.10088972328789,5.74646967594482,306,24.7272727272727,55,102,35.5236307240225,0.573248407643312,194,3,0.551440329218107,0.628721476385961,1.70161550276919,2.9230118556619,-0.467434166559804,1.49056211917715,1.55918738392891,-0.758365312862056,-0.10520090791684,1.52251285123018,-1.24758792158792,2.49846882759451,0.487935760874896,1.92685221808524,-0.301797727328944,-0.73594350082733,-0.31782608117968,-0.176693971476771,1.47664568946835,1.43503378965853,-1.33034627010496,0.0565571299047791,0.790226746162944,0.519563131915795,0.634512687130959,0.77972201013508,2.68954519756322,-2.50581104803717,0.0923485912668539,-0.0175746047720528,0.980328269302524,1.10786724205175,-1.15352407548831,2.9162149802491,-0.150703951867202,1.70161550276919,0.360962122252794,1.82202464530701,0.0173544430247052,1.35536390553738,-0.129315295748557,2.21047349612854,2.26644449192802
1,6,0.678124391891446,Russell Westbrook,,OKC,G,57,1974.28333333333,1771,124,601,578,93,21,0.422483468038207,1361,0.828333333333333,600,311,0.337874659400545,367,0.453722334004024,994,0.468038207200588,495,106,43,27,575,786,137,497,103,243,451,1.85852090032154,889,394,7.56122474822087,3.01476485138067,609,31.0701754385965,57,114,43.0576496112513,0.29903536977492,267,13,0.269654665686995,0.544923076923077,2.79432458945568,0.943232924666404,1.81215605319693,3.17248338573435,1.54755958628643,-0.477908224215897,-2.18111789554047,1.05316963770531,-4.12265591899493,-1.5960112709444,-2.58133510256398,-2.99144166032207,2.20654939511425,0.639760186542552,3.11544255472968,10.366352564779,2.40297796123429,2.87465167281834,-3.09628193129821,-0.300860334975732,3.27416489139908,3.27953232559212,-2.14130400195453,1.01061195734367,1.26632568737862,-1.46108203771053,2.05482259408512,2.57549394235848,0.435934615867065,3.06660820786475,-4.45327968086569,0.732908059111089,1.97364627105657,2.79432458945568,0.584064874156852,3.16250141407766,-2.99759187252175,2.06747962828496,-3.17044980018049,-0.410586373847419,-1.42207339680956
1,7,0.666715117928713,LeBron James,,CLE,F,52,1952.18333333333,1345,91,402,457,73,28,0.538543897216274,934,0.688888888888889,360,221,0.388888888888889,234,0.588571428571429,700,0.587259100642398,340,62,26,5,503,431,90,248,112,143,412,2.06787330316742,678,136,5.4339158719724,2.23749477081217,441,25.8653846153846,52,101,33.0706644696963,0.330316742081448,236,3,0.250535331905782,0.615616990113511,1.89768113051176,0.481601779698705,0.786609258084881,2.56752086095907,0.994121140803329,-0.160487413450277,2.17472961175059,-1.92653684969475,-2.78972913316913,0.478885281558621,2.35618431473872,2.14096344314035,1.12470941672759,-0.0786948431675434,1.79908114264424,1.96345436387429,2.18921213789238,1.50204644984896,-0.892290826375737,0.783754312878326,1.12898374310079,1.62179655580359,-2.8168113516588,1.55835347487491,0.431984356892754,-0.394601890790579,2.06067322361198,1.49123013819875,0.967871892483973,0.393551016767498,-2.65524730353103,0.0883824977421629,1.0595142111189,1.89768113051176,0.495574599964137,1.59684859276119,-2.06873620617568,1.9777685427699,-0.184465960368664,-0.484198761224452,1.77635175296975
1,8,0.653943872838687,Giannis Antetokounmpo,,MIL,F,54,1913.73333333333,1261,38,469,293,94,105,0.52479815455594,867,0.792405063291139,395,162,0.27536231884058,138,0.57201646090535,729,0.546712802768166,366,103,23,2,455,412,177,313,82,100,417,1.80864197530864,455,231,4.06326203581133,0.953110847906361,565,23.3518518518519,54,199,31.62823103184,0.580246913580247,131,2,0.15916955017301,0.605784012298232,1.46466801090438,-0.653704140399405,1.13455336143438,1.06280595898704,1.8128456362036,2.46411243852841,1.54012673276808,0.0178968049159937,-1.4083322824042,-1.74422099082569,1.82741613489107,0.577921857866858,1.24536746043864,0.691176415497201,1.41577283874197,0.647659461399195,1.54625262457875,1.05980255572165,-0.628328553937069,-1.7103879632635,1.68675690011666,1.8020227188736,-1.57940337902714,1.16198764415038,-0.404873840351739,0.238416760022133,1.95182713678932,1.50171589266721,0.115431459208023,1.4277096065602,-1.18671652947304,-1.01863877705114,1.8818582614315,1.46466801090438,3.16885485860085,1.25824098133867,0.0621829696440914,0.677465427256598,0.177531200409403,-1.17481104300733,1.2360681652762
1,9,0.636537477590781,Isaiah Thomas,,BOS,G,53,1829.76666666667,1583,172,143,334,40,5,0.468125594671741,1051,0.912393162393162,468,139,0.387387387387387,444,0.527182866556837,607,0.549952426260704,114,29,5,0,492,559,115,427,41,272,320,2.40287769784173,473,386,3.64636656768623,4.51205071684914,159,29.8679245283019,53,45,41.5266063068151,0.287769784172662,195,8,0.422454804947669,0.629713903828406,2.58720955806623,2.10409023689018,-1.04810754370832,1.45479329274005,-0.583398876003057,-0.989546080921666,-0.154804072481906,2.89545756319865,-0.991306818022339,0.805432242189685,0.319461523894886,0.846715971567062,-1.08738181996143,-0.77324568965818,-0.30007423863189,-0.176693971476771,1.98812057971077,1.9356280661617,-1.79724664361448,0.0759150189352284,2.91427238399817,2.49919810824244,-0.128519236144537,0.989374788455971,2.10073824994256,-2.07349885710673,1.03897944517461,0.943596772751621,1.21141586951537,3.29724080897392,-0.76507804478675,1.98180439855006,-1.21426856543715,2.58720955806623,-1.18128826885756,2.89419370040413,-1.51263753789783,1.44890570740648,-1.81875242662696,1.1888009220364,2.58533050568718
1,10,0.608277112927279,Chris Paul,Injured - torn thumb ligament,LAC,G,36,1112.3,629,70,192,350,81,5,0.470720720720721,444,0.875776397515528,161,86,0.395480225988701,177,0.52059925093633,267,0.54954954954955,165,27,16,1,209,235,88,141,20,107,139,4.06976744186047,436,121,3.71122898498606,3.02076777847703,251,17.4722222222222,36,86,27.1437561808865,0.941860465116279,264,2,0.398648648648649,0.610869396317302,0.451768236929036,0.692587835646141,-0.0874055567467639,2.98537327283904,3.0504524315761,-0.906384331869752,-0.0374020222220034,1.02025764340829,-0.732982710919129,0.748505445001846,0.0886924121138514,0.514571182963362,0.138976291766792,-0.554880153556793,1.51159991471753,0.441571103180204,0.195339974960914,0.196137910464047,-0.186869488572074,-0.366858284126331,0.665977870043925,0.49423614285098,0.296129781284519,0.305663070572539,0.611311113445146,-0.551225062125683,-0.140565191812277,-0.156780939094248,3.94973716906511,0.857460204219494,-0.740160533896403,0.657820840348361,0.433669906928422,0.451768236929037,1.180554870567,0.421416731289186,1.80658980459275,3.6980616733411,-0.147017978219209,0.588244990768367,1.09341782136601
