id,date,home_team,home_team_score,visit_team,visit_team_score
241103002,2005-11-03,Boston Celtics,95,Philadelphia,98
241105002,2005-11-05,Boston Celtics,94,Indiana,100
241106018,2005-11-06,NY Knicks,73,Boston Celtics,107
241110002,2005-11-10,Boston Celtics,90,Portland,88
241112002,2005-11-12,Boston Celtics,91,Charlotte,74
241117027,2005-11-17,Washington,110,Boston Celtics,105
241119002,2005-11-19,Boston Celtics,84,San Antonio,92
241121002,2005-11-21,Boston Celtics,102,Oklahoma City,83
241123011,2005-11-23,Indiana,106,Boston Celtics,96
241124020,2005-11-24,Philadelphia,110,Boston Celtics,97
241126002,2005-11-26,Boston Celtics,96,Cleveland,98
241128014,2005-11-28,Miami,106,Boston Celtics,104
241129019,2005-11-29,Orlando,101,Boston Celtics,117
241201002,2005-12-01,Boston Celtics,101,Milwaukee,100
241203002,2005-12-03,Boston Celtics,91,Toronto,89
241205023,2005-12-05,Sacramento,119,Boston Celtics,105
241206009,2005-12-06,Golden State,110,Boston Celtics,106
241209022,2005-12-09,Portland,89,Boston Celtics,87
241211025,2005-12-11,Oklahoma City,84,Boston Celtics,98
241213012,2005-12-13,LA,127,Boston Celtics,134
241215002,2005-12-15,Boston Celtics,99,Denver,100
241217002,2005-12-17,Boston Celtics,114,Utah,106
241218005,2005-12-18,Cleveland,107,Boston Celtics,114
241221014,2005-12-21,Miami,108,Boston Celtics,100
241222002,2005-12-22,Boston Celtics,114,NY Knicks,109
241226024,2005-12-26,San Antonio,107,Boston Celtics,90
241228006,2005-12-28,Dallas,113,Boston Celtics,94
241229029,2005-12-29,Memphis,117,Boston Celtics,109
241231002,2005-12-31,Boston Celtics,108,Washington,103
250102008,2005-01-02,Detroit,100,Boston Celtics,88
250103002,2005-01-03,Boston Celtics,108,New Orleans,90
250105002,2005-01-05,Boston Celtics,84,Golden State,83
250107002,2005-01-07,Boston Celtics,104,Detroit,110
250108004,2005-01-08,Chicago,102,Boston Celtics,91
250110002,2005-01-10,Boston Celtics,119,Orlando,101
250112028,2005-01-12,Toronto,104,Boston Celtics,93
250114002,2005-01-14,Boston Celtics,106,Atlanta,94
250119002,2005-01-19,Boston Celtics,92,Chicago,83
250121017,2005-01-21,Brooklyn,104,Boston Celtics,98
250122001,2005-01-22,Atlanta,100,Boston Celtics,96
250125030,2005-01-25,Charlotte,92,Boston Celtics,97
250126002,2005-01-26,Boston Celtics,100,Indiana,86
250128002,2005-01-28,Boston Celtics,119,Phoenix,128
250129004,2005-01-29,Chicago,97,Boston Celtics,101
250131002,2005-01-31,Boston Celtics,94,Houston,97
