,PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,GP_Normalized,GS_Normalized,MIN_Normalized,PPG_Normalized,OFFR_Normalized,DEFR_Normalized,RPG_Normalized,APG_Normalized,SPG_Normalized,BPG_Normalized,TPG_Normalized,FPG_Normalized,A/TO_Normalized,PER_Normalized,scores_Normalized
0,"Paul Pierce, SF",79.0,79.0,39.2,25.9,1.3,6.0,7.3,4.4,1.76,0.78,3.6,2.9,1.2,23.5,0.962962962963,0.963414634146,0.919902912621,0.806853582555,0.282608695652,0.526315789474,0.474025974026,0.494382022472,0.642335766423,0.241486068111,0.972972972973,0.690476190476,0.171428571429,0.863138686131,9.01230482945
1,"Antoine Walker, PF",78.0,78.0,41.5,20.1,1.3,5.9,7.2,4.8,1.49,0.4,3.3,2.8,1.4,15.6,0.950617283951,0.951219512195,0.97572815534,0.626168224299,0.282608695652,0.517543859649,0.467532467532,0.539325842697,0.543795620438,0.123839009288,0.891891891892,0.666666666667,0.2,0.71897810219,8.45591533179
2,"Tony Delk, PG",67.0,39.0,28.0,9.8,0.6,2.9,3.5,2.2,1.07,0.15,1.0,1.9,2.1,13.8,0.814814814815,0.475609756098,0.648058252427,0.305295950156,0.130434782609,0.254385964912,0.227272727273,0.247191011236,0.390510948905,0.046439628483,0.27027027027,0.452380952381,0.3,0.686131386861,5.24879644643
3,"Eric Williams, PF",82.0,79.0,28.7,9.1,1.7,2.9,4.7,1.7,1.05,0.23,1.2,2.9,1.4,12.8,1.0,0.963414634146,0.665048543689,0.283489096573,0.369565217391,0.254385964912,0.305194805195,0.191011235955,0.383211678832,0.0712074303406,0.324324324324,0.690476190476,0.2,0.667883211679,6.36921233351
4,"J.R. Bremer, PG",64.0,41.0,23.5,8.3,0.3,2.0,2.3,2.6,0.59,0.05,0.9,1.3,2.8,13.2,0.777777777778,0.5,0.538834951456,0.258566978193,0.0652173913043,0.175438596491,0.149350649351,0.292134831461,0.215328467153,0.015479876161,0.243243243243,0.309523809524,0.4,0.675182481752,4.61607905387
5,"Shammond Williams, PG†",51.0,2.0,22.9,7.3,0.2,1.9,2.2,2.5,1.2,0.06,1.2,1.6,2.1,12.5,0.617283950617,0.0243902439024,0.52427184466,0.227414330218,0.0434782608696,0.166666666667,0.142857142857,0.280898876404,0.43795620438,0.0185758513932,0.324324324324,0.380952380952,0.3,0.662408759124,4.15147883637
6,"Tony Battie, C",67.0,62.0,25.1,7.3,2.2,4.3,6.5,0.7,0.49,1.21,0.7,2.9,1.0,14.1,0.814814814815,0.756097560976,0.577669902913,0.227414330218,0.478260869565,0.377192982456,0.422077922078,0.0786516853933,0.178832116788,0.374613003096,0.189189189189,0.690476190476,0.142857142857,0.691605839416,5.99975355024
7,"Walter McCarty, PF",82.0,8.0,23.8,6.1,0.8,2.7,3.5,1.3,0.95,0.34,0.8,2.3,1.6,10.4,1.0,0.0975609756098,0.546116504854,0.190031152648,0.173913043478,0.236842105263,0.227272727273,0.14606741573,0.346715328467,0.105263157895,0.216216216216,0.547619047619,0.228571428571,0.624087591241,4.68627669487
8,"Vin Baker, PF",52.0,9.0,18.1,5.2,1.7,2.1,3.8,0.6,0.42,0.58,1.2,2.8,0.5,10.0,0.62962962963,0.109756097561,0.407766990291,0.16199376947,0.369565217391,0.184210526316,0.246753246753,0.0674157303371,0.153284671533,0.179566563467,0.324324324324,0.666666666667,0.0714285714286,0.616788321168,4.18915032634
9,"Mark Blount, C†",27.0,7.0,19.2,4.4,1.8,2.8,4.6,0.8,0.74,0.63,1.2,2.8,0.6,11.1,0.320987654321,0.0853658536585,0.434466019417,0.13707165109,0.391304347826,0.245614035088,0.298701298701,0.0898876404494,0.270072992701,0.195046439628,0.324324324324,0.666666666667,0.0857142857143,0.636861313869,4.18208452345
10,"Bimbo Coles, PG†",14.0,0.0,12.5,3.7,0.1,0.7,0.8,1.1,0.43,0.0,0.7,1.2,1.6,9.1,0.16049382716,0.0,0.271844660194,0.115264797508,0.0217391304348,0.0614035087719,0.0519480519481,0.123595505618,0.156934306569,0.0,0.189189189189,0.285714285714,0.228571428571,0.600364963504,2.26706365518
11,"Kedrick Brown, SG",51.0,5.0,13.1,2.8,0.9,1.9,2.7,0.4,0.67,0.25,0.5,1.3,0.9,8.3,0.617283950617,0.0609756097561,0.28640776699,0.0872274143302,0.195652173913,0.166666666667,0.175324675325,0.0449438202247,0.244525547445,0.077399380805,0.135135135135,0.309523809524,0.128571428571,0.585766423358,3.11540380266
12,"Grant Long, F",41.0,1.0,11.9,1.8,0.6,1.4,2.0,0.6,0.22,0.02,0.5,1.5,1.3,4.9,0.493827160494,0.0121951219512,0.257281553398,0.0560747663551,0.130434782609,0.122807017544,0.12987012987,0.0674157303371,0.0802919708029,0.0061919504644,0.135135135135,0.357142857143,0.185714285714,0.523722627737,2.55810508955
