id,date,home_team,home_team_score,visit_team,visit_team_score
261101002,2007-11-01,Boston Celtics,87,New Orleans,91
261103002,2007-11-03,Boston Celtics,88,Detroit,101
261104027,2007-11-04,Washington,124,Boston Celtics,117
261108002,2007-11-08,Boston Celtics,110,Charlotte,108
261110002,2007-11-10,Boston Celtics,100,Utah,107
261111005,2007-11-11,Cleveland,94,Boston Celtics,93
261113002,2007-11-13,Boston Celtics,89,Orlando,92
261115002,2007-11-15,Boston Celtics,114,Indiana,88
261117002,2007-11-17,Boston Celtics,118,Portland,90
261118018,2007-11-18,NY Knicks,118,Boston Celtics,122
261122030,2007-11-22,Charlotte,92,Boston Celtics,83
261124002,2007-11-24,Boston Celtics,77,NY Knicks,101
261125015,2007-11-25,Milwaukee,98,Boston Celtics,111
261129002,2007-11-29,Boston Celtics,103,Brooklyn,106
261201028,2007-12-01,Toronto,106,Boston Celtics,102
261204004,2007-12-04,Chicago,100,Boston Celtics,82
261206002,2007-12-06,Boston Celtics,96,Memphis,98
261208002,2007-12-08,Boston Celtics,111,Phoenix,116
261209017,2007-12-09,Brooklyn,90,Boston Celtics,92
261211018,2007-12-11,NY Knicks,90,Boston Celtics,97
261213020,2007-12-13,Philadelphia,81,Boston Celtics,101
261215002,2007-12-15,Boston Celtics,119,Denver,114
261216030,2007-12-16,Charlotte,100,Boston Celtics,106
261220002,2007-12-20,Boston Celtics,95,Golden State,96
261222002,2007-12-22,Boston Celtics,83,Philadelphia,98
261226007,2007-12-26,Denver,116,Boston Celtics,105
261227012,2007-12-27,LA,100,Boston Celtics,77
261229009,2007-12-29,Golden State,110,Boston Celtics,100
261231025,2007-12-31,Oklahoma City,101,Boston Celtics,95
270101022,2007-01-01,Portland,81,Boston Celtics,89
270103002,2007-01-03,Boston Celtics,104,Cleveland,107
270105029,2007-01-05,Memphis,119,Boston Celtics,128
270107019,2007-01-07,Orlando,87,Boston Celtics,79
270110002,2007-01-10,Boston Celtics,84,Indiana,97
270112002,2007-01-12,Boston Celtics,86,Toronto,95
270113008,2007-01-13,Detroit,81,Boston Celtics,73
270115001,2007-01-15,Atlanta,100,Boston Celtics,96
270119002,2007-01-19,Boston Celtics,91,Sacramento,96
270120027,2007-01-20,Washington,115,Boston Celtics,110
270122002,2007-01-22,Boston Celtics,89,San Antonio,93
270124002,2007-01-24,Boston Celtics,76,Atlanta,82
270126028,2007-01-26,Toronto,96,Boston Celtics,90
270128002,2007-01-28,Boston Celtics,91,Washington,105
270130011,2007-01-30,Indiana,103,Boston Celtics,96
270131002,2007-01-31,Boston Celtics,98,Los Angeles,111
270202002,2007-02-02,Boston Celtics,89,LA,100
270206008,2007-02-06,Detroit,109,Boston Celtics,102
270207002,2007-02-07,Boston Celtics,79,Miami,91
270209002,2007-02-09,Boston Celtics,78,Brooklyn,92
270211016,2007-02-11,Minnesota,109,Boston Celtics,107
270214002,2007-02-14,Boston Celtics,117,Milwaukee,97
270220023,2007-02-20,Sacramento,104,Boston Celtics,101
270221021,2007-02-21,Phoenix,118,Boston Celtics,108
270223013,2007-02-23,Los Angeles,122,Boston Celtics,96
270224026,2007-02-24,Utah,105,Boston Celtics,87
270226010,2007-02-26,Houston,72,Boston Celtics,77
270228002,2007-02-28,Boston Celtics,102,NY Knicks,94
270303017,2007-03-03,Brooklyn,88,Boston Celtics,96
270304002,2007-03-04,Boston Celtics,124,Minnesota,117
270307002,2007-03-07,Boston Celtics,80,Houston,111
270309002,2007-03-09,Boston Celtics,118,Oklahoma City,103
270311002,2007-03-11,Boston Celtics,78,Chicago,94
270313004,2007-03-13,Chicago,95,Boston Celtics,87
270314002,2007-03-14,Boston Celtics,109,Atlanta,88
270316006,2007-03-16,Dallas,106,Boston Celtics,101
270317024,2007-03-17,San Antonio,85,Boston Celtics,91
270319003,2007-03-19,New Orleans,106,Boston Celtics,88
270321002,2007-03-21,Boston Celtics,84,Charlotte,92
270323002,2007-03-23,Boston Celtics,95,Dallas,109
