id,date,home_team,home_team_score,visit_team,visit_team_score
400578724,2015-12-26,Boston,107,Brooklyn Nets,109
400578740,2015-12-27,Brooklyn Nets,85,Indiana,110
400578753,2015-12-29,Brooklyn Nets,107,Sacramento,99
400578759,2015-12-30,Chicago,82,Brooklyn Nets,96
400578777,2015-01-02,Orlando,98,Brooklyn Nets,100
400578797,2015-01-04,Miami,88,Brooklyn Nets,84
400578803,2015-01-05,Brooklyn Nets,88,Dallas,96
400578819,2015-01-07,Brooklyn Nets,81,Boston,89
400578831,2015-01-09,Brooklyn Nets,88,Philadelphia,90
400578843,2015-01-10,Detroit,98,Brooklyn Nets,93
400578856,2015-01-12,Brooklyn Nets,99,Houston,113
400578868,2015-01-14,Brooklyn Nets,92,Memphis,103
400578882,2015-01-16,Washington,80,Brooklyn Nets,102
400578897,2015-01-17,Brooklyn Nets,90,Washington,99
400578927,2015-01-21,Sacramento,100,Brooklyn Nets,103
400578932,2015-01-22,LA,123,Brooklyn Nets,84
400578947,2015-01-24,Utah,108,Brooklyn Nets,73
400578975,2015-01-28,Atlanta,113,Brooklyn Nets,102
400578991,2015-01-30,Brooklyn Nets,122,Toronto,127
400579012,2015-02-02,Brooklyn Nets,102,LA,100
400579026,2015-02-04,Toronto,93,Brooklyn Nets,109
400579038,2015-02-06,Brooklyn Nets,92,NY Knicks,88
400579051,2015-02-07,Washington,114,Brooklyn Nets,77
400579070,2015-02-09,Milwaukee,103,Brooklyn Nets,97
400579078,2015-02-10,Memphis,95,Brooklyn Nets,86
400579107,2015-02-20,Los Angeles,105,Brooklyn Nets,114
400579126,2015-02-23,Denver,82,Brooklyn Nets,110
400579141,2015-02-25,New Orleans,102,Brooklyn Nets,96
400579155,2015-02-27,Houston,102,Brooklyn Nets,98
400579166,2015-02-28,Dallas,94,Brooklyn Nets,104
400579178,2015-03-02,Brooklyn Nets,110,Golden State,108
400579191,2015-03-04,Brooklyn Nets,91,Charlotte,115
400579208,2015-03-06,Brooklyn Nets,100,Phoenix,108
400579225,2015-03-08,Brooklyn Nets,88,Utah,95
400579239,2015-03-10,Brooklyn Nets,91,New Orleans,111
400579247,2015-03-11,Miami,104,Brooklyn Nets,98
400579270,2015-03-14,Philadelphia,87,Brooklyn Nets,94
400579286,2015-03-16,Minnesota,106,Brooklyn Nets,122
400579297,2015-03-18,Cleveland,117,Brooklyn Nets,92
400579314,2015-03-20,Brooklyn Nets,129,Milwaukee,127
400579324,2015-03-21,Indiana,111,Brooklyn Nets,123
400579341,2015-03-23,Brooklyn Nets,91,Boston,110
400579352,2015-03-25,Charlotte,88,Brooklyn Nets,91
400579370,2015-03-27,Brooklyn Nets,106,Cleveland,98
400579385,2015-03-29,Brooklyn Nets,107,Los Angeles,99
400579400,2015-03-31,Brooklyn Nets,111,Indiana,106
400579408,2015-04-01,NY Knicks,98,Brooklyn Nets,100
400579422,2015-04-03,Brooklyn Nets,114,Toronto,109
400579430,2015-04-04,Atlanta,131,Brooklyn Nets,99
400755861,2015-04-06,Brooklyn Nets,106,Portland,96
400579455,2015-04-08,Brooklyn Nets,111,Atlanta,114
400579469,2015-04-10,Brooklyn Nets,117,Washington,80
400579485,2015-04-12,Milwaukee,96,Brooklyn Nets,73
400579498,2015-04-13,Brooklyn Nets,86,Chicago,113
400579516,2015-04-15,Brooklyn Nets,101,Orlando,88
400578302,2015-10-29,New York Knicks,80,Chicago,104
400578310,2015-10-30,Cleveland,90,New York Knicks,95
400578333,2015-11-02,New York Knicks,96,Charlotte,93
400578343,2015-11-04,New York Knicks,83,Washington,98
400578353,2015-11-05,Detroit,98,New York Knicks,95
400578367,2015-11-07,Brooklyn,110,New York Knicks,99
400578376,2015-11-08,Atlanta,103,New York Knicks,96
400578392,2015-11-10,New York Knicks,85,Atlanta,91
400578405,2015-11-12,New York Knicks,95,Orlando,97
400578418,2015-11-14,New York Knicks,100,Utah,102
400578434,2015-11-16,New York Knicks,109,Denver,93
400578448,2015-11-18,Milwaukee,117,New York Knicks,113
400578459,2015-11-19,Minnesota,115,New York Knicks,99
400578479,2015-11-22,New York Knicks,91,Philadelphia,83
400578494,2015-11-24,Houston,91,New York Knicks,86
400578506,2015-11-26,Dallas,109,New York Knicks,102
400578521,2015-11-28,Oklahoma City,105,New York Knicks,78
400578537,2015-11-30,New York Knicks,79,Miami,86
400578548,2015-12-02,New York Knicks,93,Brooklyn,98
400578565,2015-12-04,New York Knicks,87,Cleveland,90
400578568,2015-12-05,Charlotte,103,New York Knicks,102
400578591,2015-12-07,New York Knicks,99,Portland,103
400578603,2015-12-09,New Orleans,104,New York Knicks,93
400578614,2015-12-10,San Antonio,109,New York Knicks,95
400578623,2015-12-12,Boston,95,New York Knicks,101
400578645,2015-12-14,New York Knicks,90,Toronto,95
400578659,2015-12-16,New York Knicks,87,Dallas,107
400578671,2015-12-18,Chicago,103,New York Knicks,97
400578685,2015-12-20,New York Knicks,90,Phoenix,99
400578692,2015-12-21,Toronto,118,New York Knicks,108
400578719,2015-12-25,New York Knicks,91,Washington,102
400578743,2015-12-27,Sacramento,135,New York Knicks,129
400578748,2015-12-28,Portland,101,New York Knicks,79
400578769,2015-12-31,LA,99,New York Knicks,78
400578779,2015-01-02,New York Knicks,81,Detroit,97
400578798,2015-01-04,New York Knicks,82,Milwaukee,95
400578805,2015-01-05,Memphis,105,New York Knicks,83
400578817,2015-01-07,Washington,101,New York Knicks,91
400578828,2015-01-08,New York Knicks,96,Houston,120
400578841,2015-01-10,New York Knicks,82,Charlotte,110
400578877,2015-01-15,Milwaukee,95,New York Knicks,79
400578910,2015-01-19,New York Knicks,99,New Orleans,92
400578919,2015-01-21,Philadelphia,91,New York Knicks,98
400578937,2015-01-23,New York Knicks,113,Orlando,106
400578944,2015-01-24,Charlotte,76,New York Knicks,71
400578980,2015-01-28,New York Knicks,100,Oklahoma City,92
400578986,2015-01-29,Indiana,103,New York Knicks,82
400579009,2015-02-01,New York Knicks,92,Los Angeles,80
400579020,2015-02-03,New York Knicks,97,Boston,108
400579038,2015-02-06,Brooklyn,92,New York Knicks,88
400579052,2015-02-07,New York Knicks,92,Golden State,106
400579069,2015-02-09,Miami,109,New York Knicks,95
400579080,2015-02-11,Orlando,89,New York Knicks,83
400579099,2015-02-20,New York Knicks,87,Miami,111
400579113,2015-02-22,New York Knicks,83,Cleveland,101
400579136,2015-02-25,Boston,115,New York Knicks,94
400579152,2015-02-27,Detroit,115,New York Knicks,121
400579164,2015-02-28,New York Knicks,103,Toronto,98
400755860,2015-03-03,New York Knicks,86,Sacramento,124
400579188,2015-03-04,Indiana,105,New York Knicks,82
400579218,2015-03-07,New York Knicks,86,Indiana,92
400579235,2015-03-09,Denver,106,New York Knicks,78
400579242,2015-03-10,Utah,87,New York Knicks,82
400579258,2015-03-12,Los Angeles,94,New York Knicks,101
400579273,2015-03-14,Golden State,125,New York Knicks,94
400579280,2015-03-15,Phoenix,102,New York Knicks,89
400579293,2015-03-17,New York Knicks,104,San Antonio,100
400579308,2015-03-19,New York Knicks,92,Minnesota,95
400579313,2015-03-20,Philadelphia,97,New York Knicks,81
400579333,2015-03-22,Toronto,106,New York Knicks,89
400579342,2015-03-23,New York Knicks,82,Memphis,103
400579353,2015-03-25,New York Knicks,80,LA,111
400579371,2015-03-27,New York Knicks,92,Boston,96
400579380,2015-03-28,Chicago,111,New York Knicks,80
400579408,2015-04-01,New York Knicks,98,Brooklyn,100
400579420,2015-04-03,Washington,101,New York Knicks,87
400579443,2015-04-05,New York Knicks,101,Philadelphia,91
400579457,2015-04-08,New York Knicks,86,Indiana,102
400579472,2015-04-10,New York Knicks,91,Milwaukee,99
400579479,2015-04-11,Orlando,79,New York Knicks,80
400579497,2015-04-13,Atlanta,108,New York Knicks,112
