id,date,home_team,home_team_score,visit_team,visit_team_score
281028002,2009-10-28,Boston Celtics,90,Cleveland,85
281031002,2009-10-31,Boston Celtics,96,Chicago,80
281101011,2009-11-01,Indiana,95,Boston Celtics,79
281104010,2009-11-04,Houston,99,Boston Celtics,103
281105025,2009-11-05,Oklahoma City,83,Boston Celtics,96
281107002,2009-11-07,Boston Celtics,101,Milwaukee,89
281109008,2009-11-09,Detroit,76,Boston Celtics,88
281110002,2009-11-10,Boston Celtics,94,Toronto,87
281112002,2009-11-12,Boston Celtics,103,Atlanta,102
281114002,2009-11-14,Boston Celtics,85,Denver,94
281115015,2009-11-15,Milwaukee,97,Boston Celtics,102
281118002,2009-11-18,Boston Celtics,110,NY Knicks,101
281120002,2009-11-20,Boston Celtics,98,Detroit,80
281121016,2009-11-21,Minnesota,78,Boston Celtics,95
281123028,2009-11-23,Toronto,103,Boston Celtics,118
281126002,2009-11-26,Boston Celtics,119,Golden State,111
281128002,2009-11-28,Boston Celtics,102,Philadelphia,78
281129030,2009-11-29,Charlotte,84,Boston Celtics,89
281201002,2009-12-01,Boston Celtics,107,Orlando,88
281203002,2009-12-03,Boston Celtics,114,Indiana,96
281205002,2009-12-05,Boston Celtics,93,Portland,78
281207011,2009-12-07,Indiana,117,Boston Celtics,122
281211027,2009-12-11,Washington,88,Boston Celtics,122
281212002,2009-12-12,Boston Celtics,94,New Orleans,82
281215002,2009-12-15,Boston Celtics,100,Utah,91
281217001,2009-12-17,Atlanta,85,Boston Celtics,88
281219002,2009-12-19,Boston Celtics,126,Chicago,108
281221002,2009-12-21,Boston Celtics,124,NY Knicks,105
281223002,2009-12-23,Boston Celtics,110,Philadelphia,91
281225013,2009-12-25,Los Angeles,92,Boston Celtics,83
281226009,2009-12-26,Golden State,99,Boston Celtics,89
281228023,2009-12-28,Sacramento,63,Boston Celtics,108
281230022,2009-12-30,Portland,91,Boston Celtics,86
290102002,2009-01-02,Boston Celtics,108,Washington,83
290104018,2009-01-04,NY Knicks,100,Boston Celtics,88
290106030,2009-01-06,Charlotte,114,Boston Celtics,106
290107002,2009-01-07,Boston Celtics,85,Houston,89
290109005,2009-01-09,Cleveland,98,Boston Celtics,83
290111028,2009-01-11,Toronto,88,Boston Celtics,94
